x1,x2,x3
-0.0,-0.0,-0.0
-0.017952776336274,-0.015433861253624807,-0.015424886057626552
-0.0355049404426472,-0.030476224802456882,-0.030446234955171715
-0.052544788090624975,-0.04503483882106069,-0.04490327258748316
-0.06907700891976067,-0.0591176755929308,-0.05881723996287108
-0.08510651302510212,-0.07273273822268456,-0.07225446915038934
-0.10063841976954943,-0.08588805398601217,-0.08516500921768318
-0.11567804682058731,-0.09859166791024115,-0.0975772512650293
-0.13023089941195945,-0.11085163658135652,-0.10954283776046303
-0.14430265983066626,-0.12267602217331613,-0.12101244728746047
-0.15789917712948262,-0.1340728866955041,-0.13208911288696468
-0.1710264570650202,-0.14505028645416698,-0.142729692816039
-0.18369065226118636,-0.15561626672368803,-0.1529416302710595
-0.19589805259772902,-0.16577885662356173,-0.16267184185477632
-0.2076550758233988,-0.17554606419694488,-0.17197415195780022
-0.21896825839310766,-0.18492587168667485,-0.18094091958824854
-0.229844246528316,-0.1939262310046616,-0.1894856507440732
-0.2402897874997396,-0.20255505939058183,-0.19767715220438045
-0.2503117211313321,-0.21082023525582025,-0.20543009998617318
-0.25991697152436943,-0.2187295942086326,-0.21288349496171033
-0.2691125390003349,-0.22629092525652333,-0.21998940704215142
-0.2779054922611887,-0.2335119671818633,-0.22664294013363034
-0.28630296076548634,-0.24040040508679916,-0.23305514744084022
-0.29431212731870365,-0.2469638671035353,-0.23906781703444097
-0.3019402208760224,-0.25320992126610437,-0.24486325527264186
-0.30919450955572764,-0.25914607253977273,-0.2502989488190693
-0.3160822938612767,-0.26477976000426423,-0.2554008295433768
-0.3226109001100062,-0.27011835418701935,-0.2602406701119029
-0.32878767406636245,-0.27516915454274754,-0.26474332492154534
-0.3346199747774531,-0.2799393870755656,-0.2690288537611836
-0.34011516860864816,-0.2844362021000581,-0.27303094757846896
-0.34528062347688065,-0.2886666721376327,-0.2768000886799243
-0.3501237032792335,-0.29263778994458867,-0.28018114231735397
-0.3546517625143302,-0.29635646666835774,-0.2833567830806889
-0.35887214109399246,-0.29982953012841945,-0.2863668990123005
-0.36279215934256853,-0.3030637232184386,-0.2890962945278169
-0.36641911318128284,-0.30606570242621683,-0.2916476945582036
-0.36976026949491486,-0.3088420364680959,-0.29398570624644577
-0.3728228616780608,-0.31139920503449675,-0.29605028383829707
-0.3756140853582025,-0.31374359764332604,-0.2978906041043435
-0.378141094292759,-0.315881512598027,-0.29960540803890473
-0.3804109964372691,-0.3178191560471017,-0.30113472664948693
-0.38243085018182027,-0.3195626411419786,-0.30246693874454755
-0.3842076607528112,-0.32111798729014884,-0.30363067081505724
-0.3857483767771097,-0.3224911195005419,-0.3046353950708208
-0.3870598870056494,-0.3236878678181626,-0.3054969702098443
-0.3881490171934854,-0.32471396684505904,-0.30626698740279573
-0.3890225271333185,-0.3255750553447419,-0.30687773811754704
-0.3896871078394786,-0.3262766759272231,-0.3072887382815285
-0.39014937887935547,-0.3268242748118957,-0.30763063858684203
-0.3904158858492467,-0.3272232016655212,-0.3079022525471168
-0.3904930979916004,-0.32747870951264635,-0.3079349707898537
-0.3903874059506149,-0.327595954715814,-0.30792948302403916
-0.3901051196631667,-0.32757999702299273,-0.307685303039159
-0.38965246638203493,-0.32743579967968744,-0.3073688901298979
-0.3890355888283976,-0.32716822960325287,-0.3069335723489795
-0.3882605434705762,-0.3267820576169774,-0.3064338105911491
-0.38733329892602186,-0.3262819587415515,-0.305874856352075
-0.3862597344835382,-0.32567251254158924,-0.3051081873199762
-0.38504563874275244,-0.3249582035249176,-0.30432212331972325
-0.3836967083678611,-0.3241434215923957,-0.30341609450049617
-0.3822185469526885,-0.32323246253607657,-0.30237785658814337
-0.3806166639941192,-0.3222295285835732,-0.3013288041100459
-0.37889647397097803,-0.3211387289865341,-0.30024845869305944
-0.37706329552545825,-0.3199640806511849,-0.29906168892546636
-0.37512235074421596,-0.3187095088089392,-0.2978675528434064
-0.373078764536275,-0.31737884772512637,-0.2966275872351487
-0.3709375641049093,-0.31597584144393204,-0.29524299656235575
-0.36870367851069835,-0.3145041445676935,-0.29384137233402396
-0.36638193832297505,-0.312967323068736,-0.29242427383770414
-0.3639770753569179,-0.3113688551319813,-0.29090916980211085
