algorithm,scenarios,status,iterations,upper_bound,lower_bound,gap,runtime_seconds
benchmark_uc,2,OPTIMAL,1,152036.84197254595,152036.84197254595,0.0,5.188
benders,2,bound_inconsistency,24,193966.76468312196,210879.16820431204,0.08719227517524562,4.56
ccg,2,converged,2,152036.84126773363,152036.84197254595,4.635799564295151e-9,1.19
