algorithm,scenarios,status,iterations,lower_bound,upper_bound,gap,elapsed_seconds,max_ram_mb,log_path
benchmark_uc,2,OPTIMAL,1,152036.84197254595,152036.84197254595,0.0,5.188,1683.3,/Users/yuanyiping/Documents/GitHub/02 Ongoing/module_unitcommitment-revised_ModuleUnitCommitmentTookits/output/benchmark_uc/20260607_144415_three_way_2/logs/benchmark_uc_2_scenarios.log
benders,2,bound_inconsistency,24,210879.16820431204,193966.76468312196,0.08719227517524562,4.56,1528.58,/Users/yuanyiping/Documents/GitHub/02 Ongoing/module_unitcommitment-revised_ModuleUnitCommitmentTookits/output/benders/20260607_144415_three_way_2/logs/benders_2_scenarios.log
ccg,2,converged,2,152036.84197254595,152036.84126773363,4.635799564295151e-9,1.19,1557.92,/Users/yuanyiping/Documents/GitHub/02 Ongoing/module_unitcommitment-revised_ModuleUnitCommitmentTookits/output/ccg/20260607_144415_three_way_2/logs/ccg_2_scenarios.log
