scenario,time,load_demand,served_load,thermal_generation,wind_available,wind_used,load_curtailment,wind_curtailment,storage_charge,storage_discharge,balance_error
1,1,2.1919,2.1919,0.9,2.2823147317473143,1.2919,0.0,0.9904147317473143,0.0,0.0,0.0
1,2,2.3535000000000004,2.3535000000000004,0.12223846043140707,2.2312615395685933,2.2312615395685933,0.0,0.0,0.0,0.0,0.0
1,3,2.3467000000000002,2.3467000000000002,0.19572077868965998,2.1509792213103403,2.1509792213103403,0.0,0.0,0.0,0.0,0.0
1,4,2.3673,2.3673,0.2065023730937363,2.160797626906264,2.160797626906264,0.0,0.0,0.0,0.0,0.0
1,5,2.3906,2.3906,0.2597138241402135,2.1308861758597866,2.1308861758597866,0.0,0.0,0.0,0.0,0.0
1,6,2.4448,2.4448,0.6016623749401055,1.8431376250598943,1.8431376250598943,0.0,0.0,0.0,0.0,0.0
1,7,2.7338999999999993,2.7338999999999993,0.6096822548329007,2.1242175694198835,2.1242175694198835,0.0,0.0,0.0,0.0,-1.757472150032413e-7
1,8,2.904,2.904,0.7391653477065967,2.164834476546188,2.164834476546188,0.0,0.0,0.0,0.0,-1.757472150032413e-7
1,9,2.8355999999999995,2.8355999999999995,0.589661683050507,2.2459381412022776,2.2459381412022776,0.0,0.0,0.0,0.0,-1.757472150032413e-7
1,10,2.8120000000000003,2.8120000000000003,0.526323425904232,2.2856765740957683,2.2856765740957683,0.0,0.0,0.0,0.0,0.0
1,11,3.2861000000000007,3.2861000000000007,1.094834611679349,2.1912653883206517,2.1912653883206517,0.0,0.0,0.0,0.0,0.0
1,12,3.2810000000000006,3.2810000000000006,1.9281679450126823,2.4289300915216483,1.352832054987318,0.0,1.0760980365343302,0.0,0.0,0.0
1,13,3.2618,3.2618,1.1117111576267364,2.150088666626049,2.150088666626049,0.0,0.0,0.0,0.0,-1.757472150032413e-7
1,14,3.2360000000000007,3.2360000000000007,1.1614266564499698,2.074573167802816,2.074573167802816,0.0,0.0,0.0,0.0,-1.757472150032413e-7
1,15,3.2686,3.2686,0.9999985433398001,2.3693044544485504,2.2686014566602,0.0,0.10070299778835035,0.0,0.0,0.0
1,16,2.8779000000000003,2.8779000000000003,0.6316247195115272,2.246275280488473,2.246275280488473,0.0,0.0,0.0,0.0,0.0
1,17,2.6,2.6,0.4835528452302045,2.1164471547697956,2.1164471547697956,0.0,0.0,0.0,0.0,0.0
1,18,2.4674000000000005,2.4674000000000005,0.3869944164382044,2.080405583561796,2.080405583561796,0.0,0.0,0.0,0.0,0.0
1,19,2.5596999999999994,2.5596999999999994,0.4018790825056034,2.157820741747181,2.157820741747181,0.0,0.0,0.0,0.0,-1.757472150032413e-7
1,20,2.3735,2.3735,0.24564875697800348,2.1278512430219965,2.1278512430219965,0.0,0.0,0.0,0.0,0.0
1,21,2.4331000000000005,2.4331000000000005,0.3,2.312197546602168,2.1331000000000007,0.0,0.1790975466021672,0.0,0.0,0.0
1,22,2.8314000000000004,2.8314009948285315,0.7999999999999999,2.2149996667344487,2.0314009960785318,-9.948285312350885e-7,0.18359867065591706,0.0,0.0,1.2500001034254637e-9
1,23,2.8305000000000002,2.8305000000000002,0.6179308833928449,2.212569116607158,2.212569116607158,0.0,0.0,0.0,0.0,2.6645352591003757e-15
1,24,2.4875,2.4875,0.33758062518132737,2.1499193748186745,2.1499193748186745,0.0,0.0,0.0,0.0,1.7763568394002505e-15
2,1,2.1919,2.1919,0.9,2.3310888806660204,1.291900000000002,0.0,1.0391888806660183,0.0,0.0,2.220446049250313e-15
2,2,2.3535000000000004,2.3535000000000004,0.1,2.2876964296726006,2.253500000000002,0.0,0.034196429672598665,0.0,0.0,1.7763568394002505e-15
2,3,2.3467000000000002,2.3467000000000002,0.320530961367234,2.026169038632766,2.026169038632766,0.0,0.0,0.0,0.0,0.0
2,4,2.3673,2.3673,0.267701434171717,2.099598565828283,2.099598565828283,0.0,0.0,0.0,0.0,0.0
2,5,2.3906,2.3906,0.30852459830990586,2.082075401690094,2.082075401690094,0.0,0.0,0.0,0.0,0.0
2,6,2.4448,2.4448,0.523790763589647,1.9210092364103528,1.9210092364103528,0.0,0.0,0.0,0.0,0.0
2,7,2.7338999999999993,2.7338997101017464,0.573631532355257,2.1602681777464894,2.1602681777464894,2.8989825297936033e-7,0.0,0.0,0.0,0.0
2,8,2.904,2.903999420203494,0.7394732268079185,2.1645261933955755,2.1645261933955755,5.797965059587207e-7,0.0,0.0,0.0,0.0
