Interval_ID,Boundary_Hour,Unit_ID,On_Status,Consecutive_State_Hours
1,24,1,0,1
1,24,2,0,1
1,24,3,0,1
1,24,4,0,8
1,24,5,1,4
1,24,6,0,1
1,24,7,1,4
1,24,8,0,1
1,24,9,0,1
1,24,10,1,4
1,24,11,1,14
1,24,12,0,2
1,24,13,0,2
1,24,14,1,4
1,24,15,0,3
1,24,16,0,8
1,24,17,0,3
1,24,18,0,3
1,24,19,1,4
1,24,20,1,14
1,24,21,1,20
1,24,22,1,4
1,24,23,1,4
1,24,24,1,19
1,24,25,1,20
1,24,26,0,8
1,24,27,1,12
1,24,28,1,12
1,24,29,1,13
1,24,30,1,18
1,24,31,0,1
1,24,32,0,1
1,24,33,0,24
1,24,34,1,4
1,24,35,1,4
1,24,36,0,8
1,24,37,1,4
1,24,38,0,2
1,24,39,0,8
1,24,40,1,20
1,24,41,0,3
1,24,42,0,3
1,24,43,1,14
1,24,44,0,8
1,24,45,1,14
1,24,46,0,3
1,24,47,1,4
1,24,48,1,4
1,24,49,0,3
1,24,50,0,2
1,24,51,1,4
1,24,52,1,4
1,24,53,1,4
1,24,54,0,2
1,24,55,0,1
1,24,56,0,2
1,24,57,0,2
1,24,58,0,8
1,24,59,1,4
1,24,60,0,3
1,24,61,0,8
1,24,62,0,2
1,24,63,0,2
1,24,64,1,4
1,24,65,1,14
1,24,66,0,2
1,24,67,0,2
1,24,68,1,4
1,24,69,0,2
1,24,70,0,8
1,24,71,0,3
1,24,72,0,2
1,24,73,1,4
1,24,74,1,14
1,24,75,1,20
1,24,76,1,4
1,24,77,0,8
1,24,78,1,19
1,24,79,1,20
1,24,80,0,8
1,24,81,1,12
1,24,82,1,12
1,24,83,1,13
1,24,84,1,18
1,24,85,0,3
1,24,86,0,2
1,24,87,0,1
1,24,88,1,4
1,24,89,1,4
1,24,90,0,8
1,24,91,1,4
1,24,92,0,2
1,24,93,0,8
1,24,94,1,20
1,24,95,0,3
1,24,96,0,3
1,24,97,1,4
1,24,98,0,8
1,24,99,1,4
1,24,100,0,3
1,24,101,1,4
1,24,102,1,4
1,24,103,0,3
1,24,104,0,2
1,24,105,1,4
1,24,106,1,4
1,24,107,1,4
1,24,108,0,2
