U_norm,T_dwell_rem,L_norm,sigma_load,R_wind_max,X_delta_norm,X_switch_ratio,To_star
0.4072022160664821,0.0,0.3473685878301672,10.0,0.05,0.03462603878116344,0.037037037037037035,2.0
0.4072022160664821,0.0,0.2654960838494976,10.0,0.05,0.4542936288088643,0.7592592592592593,12.0
0.4072022160664821,0.0,0.41028702429731634,10.0,0.05,0.275623268698061,0.21296296296296297,12.0
0.4072022160664821,0.0,0.2787413082572419,10.0,0.05,0.08102493074792244,0.05555555555555555,12.0
0.4072022160664821,0.0,0.4142885144954212,10.0,0.05,0.18836565096952912,0.10185185185185185,12.0
0.4072022160664821,0.0,0.35843837160153885,10.0,0.05,0.19667590027700832,0.10185185185185185,12.0
0.4072022160664821,0.0,0.35589137736552745,10.0,0.05,0.3788088642659281,0.4444444444444444,2.0
0.4072022160664821,0.0,0.41331701104719026,10.0,0.05,0.23407202216066483,0.2037037037037037,12.0
0.4072022160664821,0.0,0.3371197083415799,10.0,0.05,0.010387811634349032,0.027777777777777776,12.0
0.4072022160664821,0.0,0.3310513811543052,10.0,0.05,0.08933518005540168,0.05555555555555555,7.0
0.4072022160664821,0.0,0.36612489259484854,10.0,0.05,0.031163434903047096,0.037037037037037035,2.0
0.4072022160664821,0.0,0.3905684816639507,10.0,0.05,0.031163434903047096,0.037037037037037035,12.0
0.4072022160664821,0.0,0.381829010333477,10.0,0.05,0.1198060941828255,0.08333333333333333,2.0
0.4072022160664821,0.0,0.360817706071825,10.0,0.05,0.010387811634349032,0.027777777777777776,2.0
0.4072022160664821,0.0,0.3573130820091285,10.0,0.05,0.09349030470914128,0.06481481481481481,2.0
0.4072022160664821,0.0,0.3468085140099715,10.0,0.05,0.10110803324099725,0.12962962962962962,12.0
0.4072022160664821,0.0,0.3452420172883598,10.0,0.05,0.010387811634349032,0.027777777777777776,7.0
0.4072022160664821,0.0,0.34707952246676277,10.0,0.05,0.16274238227146817,0.10185185185185185,2.0
0.4072022160664821,0.0,0.3271063576924177,10.0,0.05,0.1350415512465374,0.08333333333333333,7.0
0.4072022160664821,0.0,0.2724675103028877,10.0,0.05,0.39889196675900285,0.7222222222222222,12.0
0.4072022160664821,0.0,0.40650048174311293,10.0,0.05,0.23614958448753468,0.14814814814814814,12.0
0.4072022160664821,0.0,0.3555251808059766,10.0,0.05,0.09695290858725764,0.06481481481481481,12.0
0.4072022160664821,0.0,0.3452825949903455,10.0,0.05,0.11772853185595569,0.07407407407407407,7.0
0.4072022160664821,0.0,0.3367118511802085,10.0,0.05,0.5512465373961221,0.6851851851851852,2.0
0.4072022160664821,0.0,0.35742358078516673,10.0,0.05,0.14265927977839338,0.12962962962962962,2.0
0.4072022160664821,0.0,0.3991711520769922,10.0,0.05,0.031163434903047096,0.037037037037037035,12.0
0.4072022160664821,0.0,0.35668812013677687,10.0,0.05,0.029778393351800558,0.046296296296296294,7.0
0.4072022160664821,0.0,0.32413165773721236,10.0,0.05,0.38504155124653744,0.3148148148148148,2.0
0.4072022160664821,0.0,0.40542226926238195,10.0,0.05,0.05193905817174516,0.046296296296296294,2.0
0.4072022160664821,0.0,0.39600522184248743,10.0,0.05,0.04501385041551247,0.06481481481481481,12.0
0.4072022160664821,0.0,0.37130445921812155,10.0,0.05,0.031163434903047096,0.037037037037037035,12.0
0.4072022160664821,0.0,0.34458600150581326,10.0,0.05,0.1350415512465374,0.08333333333333333,2.0
0.4072022160664821,0.0,0.3494107315506293,10.0,0.05,0.19667590027700832,0.10185185185185185,2.0
0.4072022160664821,0.0,0.35583423579862494,10.0,0.05,0.04916897506925208,0.06481481481481481,2.0
0.4072022160664821,0.0,0.3430035294443271,10.0,0.05,0.2285318559556787,0.1388888888888889,7.0
0.4072022160664821,0.0,0.37383585195024366,10.0,0.05,0.1198060941828255,0.08333333333333333,2.0
0.4072022160664821,0.0,0.3443097707390298,10.0,0.05,0.09349030470914128,0.06481481481481481,2.0
0.4072022160664821,0.0,0.3508601428769064,10.0,0.05,0.31855955678670367,0.28703703703703703,7.0
0.4072022160664821,0.0,0.38341056822877456,10.0,0.05,0.05193905817174516,0.046296296296296294,12.0
0.4072022160664821,0.0,0.3583402023703818,10.0,0.05,0.13157894736842107,0.08333333333333333,2.0
