Experiment,Scenario,Mode,TotalCost_USD,CostGap_vs_All_pct,CostGap_vs_Best_pct,SubproblemSolveTime_sec,SolveTimeDelta_vs_NoOverlap_sec,SolveTimeGap_vs_Fastest_pct,JuliaAllocated_MB,MemoryGap_vs_Lowest_pct,AvgOverlap_h,MaxOverlap_h,MinOverlap_h,LoadShedding_MWh,WindCurtailment_MWh,LimitingFactorCounts,CalibrationTime_excluded_sec,ReferenceTime_excluded_sec
ieee118_extreme_ramp,extreme_ramp,NoOverlap,1.5130848641276369e7,3.6549,3.93580614989643,14.956000089645386,0.0,0.0,9525.53600692749,0.0,0.0,0,0,41.0442016817494,6.502611840088351,none=7,159.7641363,22.521620700000003
ieee118_extreme_ramp,extreme_ramp,SteadyOnly,1.456513564587926e7,-0.2205,0.049848552933030824,22.781999588012695,7.826,52.32682168667243,12926.464354515076,35.70327533394703,4.0,7,0,40.53016760905247,3.186306938208741,steady=7,159.7641363,22.521620700000003
ieee118_extreme_ramp,extreme_ramp,UnitOnly,1.4613636306223227e7,0.1117,0.38300602156972263,16.887999773025513,1.932,12.917890290183434,12539.054759025574,31.636211861531866,3.5714285714285716,7,0,40.67608361613534,5.307437286282105,none=1; unit_dwell=6,159.7641363,22.521620700000003
ieee118_extreme_ramp,extreme_ramp,RampOnly,1.4613970990104625e7,0.114,0.3853050095408014,16.317000150680542,1.361,9.100027098672117,12395.43951511383,30.128525115008642,3.4285714285714284,6,0,40.64644854754092,3.9792838198831553,none=1; ramp=6,159.7641363,22.521620700000003
ieee118_extreme_ramp,extreme_ramp,Steady+Unit,1.460610794137845e7,0.0602,0.33129268494973513,21.795999765396118,6.84,45.734151074834024,14016.983477592468,47.15165075643567,5.142857142857143,8,0,40.5634660355487,2.30110913953797,steady=5; unit_dwell=2,159.7641363,22.521620700000003
ieee118_extreme_ramp,extreme_ramp,Steady+Ramp,1.4557878753982654e7,-0.2702,0.0,21.66200017929077,6.706,44.83819236059117,13333.980408668518,39.98141835767897,4.428571428571429,7,0,40.563466035548714,2.5966735800334497,ramp=1; steady=4; steady+ramp=2,159.7641363,22.521620700000003
ieee118_extreme_ramp,extreme_ramp,Unit+Ramp,1.5208243189286157e7,4.1851,4.467439565160419,19.712000370025635,4.756,31.79994819385573,13060.587223052979,37.11131020400958,4.142857142857143,7,0,40.53016760905236,7.898912026679846,ramp=3; unit_dwell=3; unit_dwell+ramp=1,159.7641363,22.521620700000003
ieee118_extreme_ramp,extreme_ramp,Steady+Unit+Ramp,1.4597325142635396e7,0.0,0.27096247550454705,23.717000007629395,8.761,58.57849602481339,13870.341353416443,45.612187527601314,5.0,7,0,40.5634660355487,2.30110913953797,ramp=1; steady=4; steady+ramp=1; unit_dwell=1,159.7641363,22.521620700000003
