U_norm,T_dwell_rem,L_norm,sigma_load,R_wind_max,X_delta_norm,X_switch_ratio,To_star
0.4072022160664821,0.0,0.31896439654172115,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.2846684985997174,10.0,0.05,0.1662049861495845,0.1111111111111111,12.0
0.4072022160664821,0.0,0.27440532465664524,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.27786789954396585,10.0,0.05,0.20083102493074795,0.12962962962962962,12.0
0.4072022160664821,0.0,0.28998981673882923,10.0,0.05,0.013850415512465375,0.037037037037037035,7.0
0.4072022160664821,0.0,0.22895077099262368,10.0,0.05,0.425207756232687,0.6481481481481481,12.0
0.4072022160664821,0.0,0.32675817549651587,10.0,0.05,0.0664819944598338,0.07407407407407407,12.0
0.4072022160664821,0.0,0.3065217653974904,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.3182114856772932,10.0,0.05,0.110803324099723,0.09259259259259259,2.0
0.4072022160664821,0.0,0.2683694212140922,10.0,0.05,0.22368421052631582,0.14814814814814814,2.0
0.4072022160664821,0.0,0.23037659591011098,10.0,0.05,0.21468144044321333,0.14814814814814814,12.0
0.4072022160664821,0.0,0.3355546020764061,10.0,0.05,0.110803324099723,0.08333333333333333,12.0
0.4072022160664821,0.0,0.25745761654359384,10.0,0.05,0.3358725761772854,0.24074074074074073,2.0
0.4072022160664821,0.0,0.29518587565067694,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.23797974087459242,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.23404644861353943,10.0,0.05,0.07617728531855956,0.07407407407407407,12.0
0.4072022160664821,0.0,0.27750829159206963,10.0,0.05,0.013850415512465375,0.037037037037037035,7.0
0.4072022160664821,0.0,0.2685103283463252,10.0,0.05,0.16966759002770085,0.17592592592592593,7.0
0.4072022160664821,0.0,0.29316032600450886,10.0,0.05,0.013850415512465375,0.037037037037037035,7.0
0.4072022160664821,0.0,0.19656958588761642,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.25985460683787565,10.0,0.05,0.013850415512465375,0.037037037037037035,2.0
0.4072022160664821,0.0,0.26317207586436214,10.0,0.05,0.013850415512465375,0.037037037037037035,2.0
0.4072022160664821,0.0,0.2972961833899982,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.2654919960814116,10.0,0.05,0.013850415512465375,0.037037037037037035,2.0
0.4072022160664821,0.0,0.21724373286688767,10.0,0.05,0.461218836565097,0.7314814814814815,12.0
0.4072022160664821,0.0,0.29278380612550364,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.28517787479414874,10.0,0.05,0.013850415512465375,0.037037037037037035,7.0
0.4072022160664821,0.0,0.26826430934204154,10.0,0.05,0.013850415512465375,0.037037037037037035,2.0
0.4072022160664821,0.0,0.26956092086763617,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.2576780515235078,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.24712007525849278,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.23768777781587833,10.0,0.05,0.21468144044321333,0.14814814814814814,2.0
0.4072022160664821,0.0,0.2952597712204379,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.2945878206415175,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.30836033545780567,10.0,0.05,0.09002770083102495,0.07407407407407407,12.0
0.4072022160664821,0.0,0.27855644479193914,10.0,0.05,0.02770083102493075,0.046296296296296294,7.0
0.4072022160664821,0.0,0.28223794031572697,10.0,0.05,0.013850415512465375,0.037037037037037035,2.0
0.4072022160664821,0.0,0.28254652774231126,10.0,0.05,0.013850415512465375,0.037037037037037035,2.0
0.4072022160664821,0.0,0.2731402073459637,10.0,0.05,0.11980609418282548,0.16666666666666666,2.0
0.4072022160664821,0.0,0.2937686621897226,10.0,0.05,0.031163434903047096,0.046296296296296294,12.0
0.4072022160664821,0.0,0.24214923531463453,10.0,0.05,0.15927977839335183,0.10185185185185185,12.0
0.4072022160664821,0.0,0.2061951753422961,10.0,0.05,0.33656509695290865,0.39814814814814814,12.0
0.4072022160664821,0.0,0.29375729521323257,10.0,0.05,0.09002770083102495,0.1388888888888889,12.0
0.4072022160664821,0.0,0.325771415925041,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.27109525795862094,10.0,0.05,0.013850415512465375,0.037037037037037035,2.0
0.4072022160664821,0.0,0.2806034308980912,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.20184228656048386,10.0,0.05,0.4141274238227148,0.7407407407407407,12.0
0.4072022160664821,0.0,0.2754628527334856,10.0,0.05,0.08864265927977841,0.12037037037037036,2.0
0.4072022160664821,0.0,0.2857410460081325,10.0,0.05,0.1911357340720222,0.2222222222222222,2.0
