"Mean","Max","Min","Std","Index","Dataset","GroupLabel","Envelope_Min","Envelope_Max"
0,0,0,0,1,"Dataset 1","Little noise",0,0
-0.0153845449357519,-0.0148568591337417,-0.0162378022421234,0.000274765551726452,2,"Dataset 1","Little noise",-0.0291228225220745,-0.0016462673494293
-0.0298436738192844,-0.0292787402321908,-0.0304512941194427,0.000254302400718681,3,"Dataset 1","Little noise",-0.0425587938552184,-0.0171285537833503
-0.0446921481565196,-0.0441377150654813,-0.0452247062271297,0.000265778734878886,4,"Dataset 1","Little noise",-0.0579810849004639,-0.0314032114125753
-0.0587932633011366,-0.0582846000798289,-0.0593922349167777,0.000246553398936992,5,"Dataset 1","Little noise",-0.0711209332479862,-0.046465593354287
-0.0724686026966106,-0.0718477443193097,-0.0731519444765593,0.000258545455714601,6,"Dataset 1","Little noise",-0.0853958754823406,-0.0595413299108805
-0.0859748935691749,-0.0852998170391953,-0.0865317839456607,0.000232821561455486,7,"Dataset 1","Little noise",-0.0976159716419492,-0.0743338154964006
-0.098349385676231,-0.097748083741994,-0.0988990519240013,0.000225683828981604,8,"Dataset 1","Little noise",-0.109633577125311,-0.0870651942271508
-0.110266598617073,-0.109663847469005,-0.110756643429078,0.000225397655775992,9,"Dataset 1","Little noise",-0.121536481405873,-0.0989967158282734
-0.122285620395086,-0.121574022410517,-0.122894995772275,0.000285266507164645,10,"Dataset 1","Little noise",-0.136548945753318,-0.108022295036854
-0.134074568973746,-0.133478136395328,-0.134740341940884,0.000300996970635991,11,"Dataset 1","Little noise",-0.149124417505546,-0.119024720441946
-0.145146021573979,-0.144484844887885,-0.145706731973534,0.000231421099988211,12,"Dataset 1","Little noise",-0.15671707657339,-0.133574966574568
-0.155483810838006,-0.154955113873758,-0.155975519774574,0.000228401893169508,13,"Dataset 1","Little noise",-0.166903905496481,-0.144063716179531
-0.165642608802028,-0.164885794894667,-0.166223612403452,0.000249594303682353,14,"Dataset 1","Little noise",-0.178122323986146,-0.15316289361791
-0.175416140129101,-0.174881347905025,-0.176337507261867,0.000293550102588981,15,"Dataset 1","Little noise",-0.19009364525855,-0.160738634999652
-0.18543106861733,-0.18507537316763,-0.185837228501565,0.000186276953295293,16,"Dataset 1","Little noise",-0.194744916282095,-0.176117220952565
-0.194942060558427,-0.194436380824564,-0.195413028663213,0.000219816312406205,17,"Dataset 1","Little noise",-0.205932876178737,-0.183951244938117
-0.203780490577359,-0.203220040535443,-0.204217722625084,0.000251460472529225,18,"Dataset 1","Little noise",-0.21635351420382,-0.191207466950898
-0.212530835764471,-0.211874530622644,-0.213064885736967,0.000213638297871896,19,"Dataset 1","Little noise",-0.223212750658066,-0.201848920870876
-0.220366356555458,-0.219933032858185,-0.220830086208566,0.00021994063405625,20,"Dataset 1","Little noise",-0.23136338825827,-0.209369324852646
-0.22821188703885,-0.227678962955613,-0.229135101815484,0.000308529307467515,21,"Dataset 1","Little noise",-0.243638352412226,-0.212785421665474
-0.235446540346972,-0.234819242061248,-0.236019040554055,0.000284077745286078,22,"Dataset 1","Little noise",-0.249650427611276,-0.221242653082668
-0.242171384101359,-0.241526084386948,-0.242792923008562,0.000264124742929024,23,"Dataset 1","Little noise",-0.25537762124781,-0.228965146954908
