Interval_ID,Boundary_Hour,Unit_ID,On_Status,Consecutive_State_Hours
1,24,1,0,12
1,24,2,0,12
1,24,3,0,12
1,24,4,1,24
1,24,5,1,10
1,24,6,0,12
1,24,7,0,7
1,24,8,0,12
1,24,9,0,12
1,24,10,1,24
1,24,11,1,11
1,24,12,0,12
1,24,13,0,12
1,24,14,0,9
1,24,15,0,12
1,24,16,0,9
1,24,17,0,12
1,24,18,0,12
1,24,19,0,9
1,24,20,1,24
1,24,21,1,24
1,24,22,0,9
1,24,23,0,9
1,24,24,1,24
1,24,25,1,24
1,24,26,0,9
1,24,27,1,24
1,24,28,1,24
1,24,29,1,24
1,24,30,0,12
1,24,31,0,12
1,24,32,0,12
1,24,33,0,12
1,24,34,0,9
1,24,35,0,9
1,24,36,1,24
1,24,37,0,9
1,24,38,0,12
1,24,39,1,24
1,24,40,1,24
1,24,41,0,12
1,24,42,0,12
1,24,43,1,24
1,24,44,1,24
1,24,45,1,24
1,24,46,0,12
1,24,47,0,9
1,24,48,0,9
1,24,49,0,12
1,24,50,0,12
1,24,51,0,9
1,24,52,0,9
1,24,53,0,9
1,24,54,0,12
1,24,55,0,12
1,24,56,0,12
1,24,57,0,12
1,24,58,1,24
1,24,59,1,10
1,24,60,0,12
1,24,61,0,9
1,24,62,0,12
1,24,63,0,12
1,24,64,1,24
1,24,65,1,11
1,24,66,0,12
1,24,67,0,12
1,24,68,0,9
1,24,69,0,12
1,24,70,0,9
1,24,71,0,12
1,24,72,0,12
1,24,73,0,9
1,24,74,1,24
1,24,75,1,24
1,24,76,0,9
1,24,77,0,9
1,24,78,0,9
1,24,79,1,24
1,24,80,0,9
1,24,81,1,24
1,24,82,1,24
1,24,83,1,24
1,24,84,0,12
1,24,85,0,12
1,24,86,0,12
1,24,87,0,12
1,24,88,0,9
1,24,89,0,9
1,24,90,1,24
1,24,91,0,9
1,24,92,0,12
1,24,93,1,24
1,24,94,1,24
1,24,95,0,12
1,24,96,0,12
1,24,97,1,24
1,24,98,1,24
1,24,99,1,24
1,24,100,0,12
1,24,101,0,9
1,24,102,0,9
1,24,103,0,12
1,24,104,0,12
1,24,105,0,9
1,24,106,0,9
1,24,107,0,9
1,24,108,0,12
1,24,109,0,12
1,24,110,0,12
1,24,111,0,12
1,24,112,1,24
1,24,113,1,10
1,24,114,0,12
1,24,115,0,9
1,24,116,0,12
1,24,117,0,12
1,24,118,1,24
1,24,119,1,11
1,24,120,0,12
1,24,121,0,12
1,24,122,0,9
1,24,123,0,12
1,24,124,0,9
1,24,125,0,12
1,24,126,0,12
1,24,127,0,9
1,24,128,1,24
1,24,129,1,24
1,24,130,0,9
1,24,131,0,9
1,24,132,0,9
1,24,133,1,24
1,24,134,0,9
1,24,135,1,24
1,24,136,1,24
1,24,137,1,24
1,24,138,0,12
1,24,139,0,12
1,24,140,0,12
1,24,141,0,12
1,24,142,0,9
1,24,143,0,9
1,24,144,1,24
1,24,145,0,9
1,24,146,0,12
1,24,147,1,24
1,24,148,1,24
1,24,149,0,12
1,24,150,0,12
1,24,151,1,24
1,24,152,1,24
1,24,153,1,24
1,24,154,0,12
1,24,155,0,9
1,24,156,0,9
1,24,157,0,12
1,24,158,0,12
1,24,159,0,9
1,24,160,0,9
1,24,161,0,9
1,24,162,0,12
1,24,163,0,12
1,24,164,0,12
1,24,165,0,12
1,24,166,1,24
1,24,167,1,10
1,24,168,0,12
1,24,169,0,9
1,24,170,0,12
1,24,171,0,12
1,24,172,1,24
1,24,173,1,11
1,24,174,0,12
1,24,175,0,12
1,24,176,0,9
1,24,177,0,12
1,24,178,0,9
1,24,179,0,12
1,24,180,0,12
1,24,181,0,9
1,24,182,1,24
1,24,183,1,24
1,24,184,0,9
1,24,185,0,9
1,24,186,0,9
1,24,187,1,24
1,24,188,0,9
1,24,189,1,11
1,24,190,1,24
1,24,191,1,24
1,24,192,0,12
1,24,193,0,12
1,24,194,0,12
1,24,195,0,12
1,24,196,0,9
1,24,197,0,9
1,24,198,1,24
1,24,199,0,9
1,24,200,0,12
1,24,201,1,24
1,24,202,1,24
1,24,203,0,12
1,24,204,0,12
1,24,205,1,11
1,24,206,1,24
1,24,207,1,24
1,24,208,0,12
1,24,209,0,9
1,24,210,0,9
1,24,211,0,12
1,24,212,0,12
1,24,213,0,9
1,24,214,0,9
1,24,215,0,9
1,24,216,0,12
1,24,217,0,12
1,24,218,0,12
1,24,219,0,12
1,24,220,1,24
1,24,221,1,10
1,24,222,0,12
1,24,223,0,9
1,24,224,0,12
1,24,225,0,12
1,24,226,1,24
1,24,227,1,11
1,24,228,0,12
1,24,229,0,12
1,24,230,0,9
1,24,231,0,12
1,24,232,0,9
1,24,233,0,12
1,24,234,0,12
1,24,235,0,9
1,24,236,1,24
1,24,237,1,24
1,24,238,0,9
1,24,239,0,9
1,24,240,0,9
1,24,241,1,24
1,24,242,0,9
1,24,243,1,11
1,24,244,1,24
1,24,245,1,24
1,24,246,0,12
1,24,247,0,12
1,24,248,0,12
1,24,249,0,12
1,24,250,0,9
1,24,251,0,9
1,24,252,1,24
1,24,253,0,9
1,24,254,0,12
1,24,255,1,24
1,24,256,1,24
1,24,257,0,12
1,24,258,0,12
1,24,259,1,11
1,24,260,1,24
1,24,261,1,24
1,24,262,0,12
1,24,263,0,9
1,24,264,0,9
1,24,265,0,12
1,24,266,0,12
1,24,267,0,9
1,24,268,0,9
1,24,269,0,9
1,24,270,0,12
1,24,271,0,12
1,24,272,0,12
1,24,273,0,12
1,24,274,1,24
1,24,275,1,10
1,24,276,0,12
1,24,277,0,9
1,24,278,0,12
1,24,279,0,12
1,24,280,1,24
1,24,281,1,11
1,24,282,0,12
1,24,283,0,12
1,24,284,0,9
1,24,285,0,12
1,24,286,0,9
1,24,287,0,12
1,24,288,0,12
1,24,289,0,9
1,24,290,1,24
1,24,291,0,1
1,24,292,0,9
1,24,293,0,9
1,24,294,0,9
1,24,295,1,24
1,24,296,0,9
1,24,297,1,11
1,24,298,1,24
1,24,299,1,24
1,24,300,0,12
1,24,301,0,12
1,24,302,0,12
1,24,303,0,12
1,24,304,0,9
1,24,305,0,9
1,24,306,1,24
1,24,307,0,9
1,24,308,0,12
1,24,309,1,24
1,24,310,1,24
1,24,311,0,12
1,24,312,0,12
1,24,313,1,11
1,24,314,1,24
1,24,315,1,24
1,24,316,0,12
1,24,317,0,9
1,24,318,0,9
1,24,319,0,12
1,24,320,0,12
1,24,321,0,9
1,24,322,0,9
1,24,323,0,9
1,24,324,0,12
1,24,325,0,12
1,24,326,0,12
1,24,327,0,12
1,24,328,1,24
1,24,329,1,10
1,24,330,0,12
1,24,331,0,9
1,24,332,0,12
1,24,333,0,12
1,24,334,1,24
1,24,335,1,11
1,24,336,0,12
1,24,337,0,12
1,24,338,0,9
1,24,339,0,12
1,24,340,0,9
1,24,341,0,12
1,24,342,0,12
1,24,343,0,9
1,24,344,1,24
1,24,345,0,1
1,24,346,0,9
1,24,347,0,9
1,24,348,0,9
1,24,349,1,24
1,24,350,0,9
1,24,351,1,11
1,24,352,1,24
1,24,353,1,24
1,24,354,0,12
1,24,355,0,12
1,24,356,0,12
1,24,357,0,12
1,24,358,0,9
1,24,359,0,9
1,24,360,1,24
1,24,361,0,9
1,24,362,0,12
1,24,363,1,24
1,24,364,1,24
1,24,365,0,12
1,24,366,0,12
1,24,367,1,11
1,24,368,1,24
1,24,369,1,24
1,24,370,0,12
1,24,371,0,9
1,24,372,0,9
1,24,373,0,12
1,24,374,0,12
1,24,375,0,9
1,24,376,0,9
1,24,377,0,9
1,24,378,0,12
1,24,379,0,12
1,24,380,0,12
1,24,381,0,12
1,24,382,1,24
1,24,383,1,10
1,24,384,0,12
1,24,385,0,9
1,24,386,0,12
1,24,387,0,12
1,24,388,1,24
1,24,389,1,11
1,24,390,0,12
1,24,391,0,12
1,24,392,0,9
1,24,393,0,12
1,24,394,0,9
1,24,395,0,12
1,24,396,0,12
1,24,397,0,9
1,24,398,1,24
1,24,399,0,1
1,24,400,0,9
1,24,401,0,9
1,24,402,0,9
1,24,403,1,24
1,24,404,0,9
1,24,405,1,11
1,24,406,1,24
1,24,407,1,24
1,24,408,0,12
1,24,409,0,12
1,24,410,0,12
1,24,411,0,12
1,24,412,0,9
1,24,413,0,9
1,24,414,1,24
1,24,415,0,9
1,24,416,0,12
1,24,417,1,24
1,24,418,1,24
1,24,419,0,12
1,24,420,0,12
1,24,421,1,11
1,24,422,1,24
1,24,423,1,24
1,24,424,0,12
1,24,425,0,9
1,24,426,0,9
1,24,427,0,12
1,24,428,0,12
1,24,429,0,9
1,24,430,0,9
1,24,431,0,9
1,24,432,0,12
1,24,433,0,12
1,24,434,0,12
1,24,435,0,12
1,24,436,1,24
1,24,437,1,10
1,24,438,0,12
1,24,439,0,9
1,24,440,0,12
1,24,441,0,12
1,24,442,1,24
1,24,443,1,11
