0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.3,0.05,0.3,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.3,0.3,0.05,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.3,0.05,0.3,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.3,0.3,0.05,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.3,0.05,0.3,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.3,0.3,0.05,0.0,0.0,0.0
1.5,2.1,2.1,1.5,1.5,2.1,2.7,2.4,3.0,2.68394,3.0,3.0,3.0,3.0,3.0,3.0,2.66115,3.0,3.0,2.55172,2.78046,3.0,2.65928,3.0,3.0,3.0,2.92609,2.32609,1.72609,2.32609,2.92609,3.0,3.0,2.4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2.20453,1.60453,1.31504,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,2.2,2.8,3.0,2.4,2.4,3.0,2.4,2.10519,2.23541,1.63541,1.6,1.0,1.0,1.6,2.14123,2.51181,1.91181,2.4,3.0,2.87759,2.33787,2.89818,2.50624,3.0,2.42478,3.0,3.0,3.0,2.55042,3.0,2.4,2.51667
0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.1,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.25,0.45,0.65,0.85,0.8,1.0,1.0,1.0,0.85,0.65,0.45,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.45,0.65,0.85,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.3,0.05,0.3,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.28071,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.3,0.05,0.3,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.28071,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6,2.2,1.6,1.0,1.0,1.6,2.2,2.4,3.0,2.68394,3.0,3.0,3.0,3.0,3.0,3.0,2.66115,3.0,3.0,2.55172,2.78046,3.0,2.65928,3.0,3.0,3.0,2.92609,2.32609,1.72609,2.32609,2.92609,3.0,3.0,2.4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2.25453,1.55453,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7,2.4,2.8,3.5,3.47054,2.77054,2.8,3.5,2.8,2.10643,2.28541,1.58541,1.7,1.0,1.0,1.7,2.14123,2.8,2.1,2.8,3.5,2.87759,2.33787,2.89818,2.8,3.5,2.8,3.5,3.5,3.5,2.8,3.5,2.8,2.51667
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.3,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.3,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.25,0.45,0.65,0.85,0.8,1.0,0.85,0.65,0.45,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.45,0.65,0.85,1.0,1.0,1.0,1.0,0.8,1.0
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.3,0.08,0.3,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.25,0.45,0.65,0.85,0.8,1.0,0.85,0.65,0.45,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.45,0.65,0.85,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.3,0.08,0.3,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.3,0.08,0.3,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.3,0.08,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.25,0.45,0.65,0.85,0.8,1.0,0.85,0.65,0.45,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.45,0.65,0.85,1.0,1.0,1.0,1.0,0.8,1.0
2.0,1.5,1.0,0.5,0.5,1.0,1.5,1.92786,2.42786,2.0,2.5,2.19007,2.17223,1.89925,2.39908,2.5,2.0,2.5,2.49998,1.99998,2.0,2.5,2.0,2.11024,2.22803,1.72803,1.22803,0.72803,0.5,1.0,1.5,2.0,2.00829,2.0,2.5,2.22372,2.14443,2.22675,2.16916,2.5,2.15719,2.36346,2.5,2.5,2.17565,2.5,2.0,2.1707
0.5,0.5,0.5,0.5,0.5,0.98274,0.5,1.0,1.5,2.0,2.5,2.0,1.5,1.0,0.5,0.62625,1.03352,1.53352,1.03352,0.97346,1.47346,1.97346,1.47346,0.97346,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.96472,1.46472,1.96472,1.46472,0.96472,0.5,0.88077,1.38077,1.5,2.0,2.5,2.5,2.0,2.36322,1.86322,1.36322
0.0,0.0,0.0,0.0,0.0,0.25,0.45,0.65,0.85,0.8,1.0,0.85,0.65,0.45,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.45,0.65,0.85,1.0,1.0,1.0,1.0,0.8,1.0
0.0,0.0,0.0,0.0,0.0,0.25,0.45,0.65,0.85,0.8,1.0,0.85,0.65,0.45,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.45,0.65,0.85,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0
0.5,0.5,0.5,0.5,0.5,0.9,0.5,0.8,1.2,1.6,2.0,1.6,1.2,0.8,0.5,0.6567,1.0567,1.4567,1.0567,1.05346,1.45346,1.85346,1.45346,1.05346,0.65346,0.5,0.9,0.5,0.5,0.9,0.5,0.5,0.9,1.3,1.7,1.3,0.9,0.5,0.9,1.3,1.2,1.6,2.0,2.0,1.6,2.0,1.6,1.2
0.5,0.82678,0.9,0.5,0.5,0.9,1.3,1.6,2.0,1.6,2.0,2.0,2.0,1.74845,2.0,2.0,1.6,2.0,2.0,1.6,1.6,2.0,1.6,1.9763,1.90932,1.50932,1.10932,0.70932,0.5,0.9,1.3,1.7,1.86875,1.6,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.6,2.0
0.25,0.45,0.45,0.25,0.25,0.45,0.65,0.8,1.0,0.8,1.0,0.85,0.65,0.45,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.45,0.65,0.85,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0
2.84,2.68,1.84,1.0,1.0,1.84,2.68,3.36,4.2,3.36,4.2,4.2,4.2,4.2,4.2,4.2,3.36,4.2,4.2,3.36,3.36,4.2,3.36,4.2,4.2,3.62673,3.36,2.52,1.68,2.52,3.36,4.2,4.2,3.36,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.15727,4.2
2.32453,1.48453,1.31504,1.0,1.0,1.84,1.9277,2.14543,2.98543,3.36,4.2,3.36,2.52794,2.52,3.36,4.2,3.36,4.2,3.54055,2.70055,3.36,4.2,3.36,2.52,2.35541,1.51541,1.84,1.0,1.0,1.84,2.15678,2.99677,2.52,3.36,4.2,3.36,2.52,2.89818,3.36,4.2,3.36,3.8287,4.2,4.2,3.36,4.2,3.36,2.52053
