U_norm,T_dwell_rem,L_norm,sigma_load,R_wind_max,X_delta_norm,X_switch_ratio,To_star
0.4072022160664821,0.0,0.2576780515235078,10.0,0.05,0.010387811634349032,0.027777777777777776,2.0
0.4072022160664821,0.0,0.23797974087459242,10.0,0.05,0.031163434903047096,0.037037037037037035,7.0
0.4072022160664821,0.0,0.24712007525849278,10.0,0.05,0.010387811634349032,0.027777777777777776,12.0
0.4072022160664821,0.0,0.19656958588761642,10.0,0.05,0.11357340720221608,0.06481481481481481,12.0
