x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01548193798991565,0.016480016973687183,0.019665782467500816,0.01979775610534453,0.016029277268606357,0.013000375142648405,0.015644507977806716,0.01665034750467643,0.016510874702109348,0.013707000904996889,0.01289988788907575,0.01192726212930116,0.016252862885544873,0.01647670895396148,0.01588638835213063,0.017231361584186332,0.014316122736427005,0.015840194227431072,0.01831022618305638,0.0137636830101352,0.014505687086361999,0.013439017217778104,0.017231361584186332,0.012918067933106556,0.017426910136631037,0.013707000904996889,0.01621402109751255,0.013962547318269566,0.014800927782342614,0.01192726212930116,0.011828435907404976,0.014882512007714363,0.011006036393275952,0.01355947540665118,0.015718522745228277,0.013000375142648405,0.017529634202558545,0.017710187173802457,0.014453179757849708,0.017529634202558545,0.011006036393275952,0.01979775610534453,0.01289988788907575,0.016609328962714814,0.016087211331932003,0.012586567629534123,0.015168876650213802,0.016252862885544873,0.012918067933106556,0.016676499124843248,0.017710187173802457,0.015356794011813498,0.014693959957499626,0.012595272299349576,0.01548193798991565,0.016120638184251246,0.013962547318269566,0.016304775280291173,0.017710187173802457,0.016889189832575806,0.015724094635976692,0.01824678772366109,0.013707000904996889,0.013863619612261041,0.01665034750467643,0.015341114596258245,0.014858706175298237,0.015644507977806716,0.0137636830101352,0.016890387297676997,0.019485296672739925,0.016895705577769184,0.014800927782342614,0.015493564545695327,0.01289988788907575,0.016087211331932003,0.016029277268606357,0.016895705577769184,0.014800927782342614,0.015341114596258245,0.017231361584186332,0.018189333679982513,0.013962547318269566,0.016133404568876467,0.01910968720229295,0.01391356560773653,0.014452455687033433,0.015644507977806716,0.01289988788907575,0.015493564545695327,0.012595272299349576,0.01289988788907575,0.019485296672739925,0.014693959957499626,0.014882512007714363,0.015718522745228277,0.019485296672739925,0.01454046598315635,0.016737015730058435,0.016609328962714814
0.029832850370711962,0.03230218381935053,0.029042740723939087,0.031100927790582704,0.0291909624036647,0.030198855839751897,0.029698020514235212,0.03090621811084372,0.03164618361713172,0.02705025430188973,0.03221275802850533,0.02992915610026941,0.030198855839751897,0.028949828175954016,0.03085427411272714,0.029716544966319695,0.029183484893668874,0.030616593769051164,0.033088164617843085,0.02811560842769574,0.030447337173705215,0.0317938694313361,0.02898991234869095,0.02705025430188973,0.02906811063826284,0.036262288145805927,0.03167414760835747,0.030546645932598943,0.033088164617843085,0.03199808334982922,0.0312479460193481,0.03006203704087099,0.03373250616696265,0.02740884271080196,0.030394494754721075,0.029183484893668874,0.026276531356626352,0.03208366713769615,0.031235998872686608,0.030220206257140416,0.033676541758650834,0.033088164617843085,0.0312479460193481,0.036262288145805927,0.026947499623996236,0.028426196268206406,0.030394494754721075,0.036262288145805927,0.03149642858229501,0.030546645932598943,0.027008365440195824,0.028037575587245005,0.03090621811084372,0.0318769095493056,0.02867910243190851,0.03377745453459046,0.036266937799797686,0.03199808334982922,0.02898991234869095,0.029434899561842788,0.030337449151050567,0.02906811063826284,0.029983900762080934,0.029983900762080934,0.029625166673254218,0.03208366713769615,0.03167414760835747,0.02740884271080196,0.028037575587245005,0.03336702371745716,0.029983900762080934,0.030188706182074546,0.02705025430188973,0.030220206257140416,0.03368159613632622,0.03236350121926184,0.036262288145805927,0.029850026234490346,0.030546645932598943,0.033088164617843085,0.03455512058758728,0.029832850370711962,0.03373250616696265,0.03167414760835747,0.03167414760835747,0.0331684196413776,0.033676541758650834,0.03236350121926184,0.03130414810741046,0.03373250616696265,0.03368159613632622,0.029434899561842788,0.0317938694313361,0.03221275802850533,0.036262288145805927,0.03004219825503791,0.03164618361713172,0.025947894534483616,0.03377745453459046,0.029625166673254218
0.04471048349352691,0.044996336681008366,0.04467560673285665,0.04686793874424153,0.04187070717676196,0.04635210411384045,0.0436075101645087,0.03939705647206662,0.041616236495810505,0.046631595524008626,0.041344504406383945,0.04181762002359982,0.04187070717676196,0.04425465209720421,0.0436075101645087,0.04394569336591113,0.04325633144755519,0.04364700442120463,0.049258725463304474,0.04400253826235821,0.0403034588523749,0.0436075101645087,0.044389799710680584,0.04536853246547129,0.049258725463304474,0.043290576871602385,0.042618575788758196,0.049377530374136044,0.04618162575465263,0.045869888549347475,0.042618575788758196,0.04364700442120463,0.04285995979776099,0.042776356982628605,0.04364700442120463,0.041309589254879965,0.0436075101645087,0.04398526625247254,0.042311862490266,0.04751944225292123,0.045869888549347475,0.045869888549347475,0.04702394079108953,0.04425465209720421,0.04446850126623577,0.04122675638671555,0.0438926326973444,0.04608725180998086,0.043278460835325314,0.042776356982628605,0.049377530374136044,0.04467560673285665,0.03939705647206662,0.04635210411384045,0.048181664802802754,0.04597915654663938,0.04398526625247254,0.04181762002359982,0.046967609012551245,0.04644271752049364,0.04446850126623577,0.04398526625247254,0.04108616265196778,0.04181762002359982,0.04364452351983351,0.0451659723603325,0.048181664802802754,0.0451659723603325,0.041344504406383945,0.04439516645906987,0.04463021954912636,0.049377530374136044,0.04776370752130247,0.04776370752130247,0.044040152198618523,0.04635210411384045,0.042618575788758196,0.04489818295553773,0.04504385143988065,0.04489818295553773,0.048181664802802754,0.04255135012327654,0.044829160730954755,0.0403034588523749,0.04342380508026651,0.04489818295553773,0.0447393971108967,0.04616349474999203,0.0425301725428702,0.042311862490266,0.04380443600852113,0.04536853246547129,0.049377530374136044,0.04465241634112413,0.045457838088260524,0.041344504406383945,0.042705133548620614,0.049258725463304474,0.047329646321119766,0.049258725463304474
0.05890610754208325,0.05996812521241613,0.057191856071812236,0.06029208720476104,0.060114048054620214,0.06049249238159537,0.057566717153226206,0.057899660209376196,0.05677036346302652,0.06096136496963803,0.06016945781121062,0.05953407966154323,0.0609902813790162,0.05671488728879516,0.059376810562781816,0.057172780659730076,0.05860093796915533,0.058222315753943515,0.0579969082382068,0.06129211608215522,0.05482449371768409,0.06090755579912678,0.05991754932854622,0.06031520397763458,0.06040093499278847,0.057172780659730076,0.05922818645130346,0.05713857954387648,0.0596558144039046,0.057899660209376196,0.057899660209376196,0.06040093499278847,0.05671488728879516,0.05860093796915533,0.057172780659730076,0.058647534676736494,0.06318605226427007,0.06052243452583966,0.057191856071812236,0.05953407966154323,0.05558983080237174,0.05551584323893237,0.05820643456673926,0.059422928697283106,0.059376810562781816,0.05843035824546201,0.058647534676736494,0.05588056438043251,0.0580477052142163,0.05942169484915447,0.06155816051184088,0.05558983080237174,0.05922818645130346,0.05940907676839802,0.059841028537553125,0.05930774883681503,0.05965617927704226,0.05673640510399889,0.054460648805140593,0.059422928697283106,0.058610045524356474,0.05940907676839802,0.06016945781121062,0.0588565954627184,0.05830773545584415,0.05916433411303045,0.05673640510399889,0.05558983080237174,0.059397701486886695,0.05655200668976788,0.06052243452583966,0.05560226331776292,0.06145401071343358,0.0568920538293618,0.057899660209376196,0.05688059733522128,0.05940907676839802,0.057172780659730076,0.05583333292902752,0.06167554604855923,0.06318605226427007,0.05688059733522128,0.05965617927704226,0.058647534676736494,0.0579969082382068,0.06139097567754558,0.059002740630766264,0.06167554604855923,0.06129211608215522,0.058655103289138824,0.05545044122922412,0.057805930709892955,0.058993000628986346,0.060114048054620214,0.05482449371768409,0.05953407966154323,0.0579969082382068,0.0580477052142163,0.05927061411443725,0.05930774883681503
0.07008237917039316,0.07293266398536212,0.07260312634994215,0.0686375252139639,0.0719999124711815,0.07055969795592783,0.0728721619629346,0.0732396553430343,0.07383319124040261,0.07179239976140776,0.07105749552417316,0.0748334167167873,0.0748334167167873,0.0712039013084543,0.07631708603811543,0.07599830862823559,0.07447877524610066,0.07041516616911961,0.07556580130286707,0.0731832157433801,0.07388362943697402,0.07397552518777722,0.0783557800002791,0.07048943149966277,0.07599830862823559,0.07048943149966277,0.07161698160204807,0.07067914167940835,0.07444114080245509,0.07565550981209584,0.07136394099483469,0.0738901790994225,0.0724653478493766,0.06859857642984145,0.07355750050968385,0.07355750050968385,0.0731832157433801,0.0731832157433801,0.06895437908184654,0.07265730496284177,0.07565550981209584,0.07397552518777722,0.07204399742885538,0.07136394099483469,0.0702175423162896,0.07393550802889325,0.07620870302808216,0.07265267910032057,0.07324706149829997,0.07293266398536212,0.07600645497575427,0.07303959057695107,0.07095520899777535,0.07051549573196893,0.07048943149966277,0.07339101827504287,0.06996309693608968,0.07243167534492341,0.0732396553430343,0.07179239976140776,0.07599830862823559,0.0753435981695763,0.07026438846840018,0.07324706149829997,0.07136394099483469,0.07204399742885538,0.07050121476837991,0.07324706149829997,0.07383319124040261,0.07556580130286707,0.07339101827504287,0.0747776179701157,0.07243167534492341,0.07169472199207223,0.07355197488781687,0.07303959057695107,0.06967701200300465,0.0728721619629346,0.07393550802889325,0.07217529032445326,0.0712039013084543,0.0738901790994225,0.0724653478493766,0.07265267910032057,0.07134093719144381,0.071910847018093,0.06895437908184654,0.0731832157433801,0.07516356247536657,0.07375726396174709,0.06959679883656798,0.07447877524610066,0.07393550802889325,0.07447877524610066,0.07551216524614489,0.07551216524614489,0.0748334167167873,0.0747776179701157,0.07131402360985459,0.0686375252139639
0.08070135889525257,0.08601063475762266,0.08266869762266545,0.08105595402422519,0.08192923720579266,0.08325442491296453,0.08415145096281758,0.08654876157388747,0.0847036300608281,0.07779781598139812,0.08519304027132595,0.08235416691992103,0.08170184668949408,0.08155277691089602,0.08405324917536361,0.08360591595183567,0.08642636385294694,0.08246514261496588,0.08025903731443562,0.08282602485706918,0.08763625345883627,0.0836604122743714,0.08763625345883627,0.08288617598758713,0.08654876157388747,0.08187690434007062,0.07935423470364891,0.08155277691089602,0.08235416691992103,0.08057465634941839,0.08278175206495766,0.0820616318160589,0.08222626933430378,0.0801096268878192,0.0820484374595152,0.08187690434007062,0.08386506403135041,0.08175697742622132,0.08356144449858864,0.08654876157388747,0.0848544546751864,0.08102734497248743,0.08308811909620728,0.08514441069654692,0.08642636385294694,0.0848544546751864,0.08332042045841331,0.08235416691992103,0.08163346449530946,0.08087765566526602,0.08455722246168786,0.08226477014215322,0.08057465634941839,0.08175697742622132,0.0848544546751864,0.08667339284286565,0.08324604507542993,0.08087765566526602,0.08278175206495766,0.08468963881544338,0.08444731895637425,0.08155277691089602,0.08299128513290747,0.08325442491296453,0.08184888295300057,0.08917922030903241,0.08155277691089602,0.08219372724395538,0.08572508720123358,0.08415145096281758,0.08667339284286565,0.08519304027132595,0.08572508720123358,0.08509584445666779,0.08170184668949408,0.08087765566526602,0.08360591595183567,0.08163346449530946,0.08025903731443562,0.08382040265853108,0.08163346449530946,0.08309958086531462,0.08246514261496588,0.08282602485706918,0.08087765566526602,0.08300550948511652,0.08611899545719366,0.08356144449858864,0.08917922030903241,0.08163346449530946,0.08471943650581254,0.0835346952469997,0.08292114479130025,0.08163346449530946,0.08219372724395538,0.08278175206495766,0.08572508720123358,0.0848544546751864,0.0811597494018431,0.08514441069654692
0.09184253472141292,0.09450992270726442,0.09331549871587108,0.09001809520353626,0.09513178894810208,0.09590718774130876,0.09045621967558955,0.0971480714568926,0.0915494566489187,0.09208771624037067,0.08967185945145026,0.09067264701256936,0.09261701415767672,0.09158898077949462,0.09411660711838933,0.093914383882845,0.09323933037054057,0.09837503314673665,0.09256573333098385,0.09279710787491921,0.09323933037054057,0.09728684364575786,0.08965164296962544,0.09590718774130876,0.09430038799693011,0.09208771624037067,0.09141282455923014,0.09363774645618277,0.09341670616761202,0.09516743229586982,0.09603650587581454,0.09449918661615113,0.09862306750281312,0.09837503314673665,0.09522454170226104,0.09549267775745653,0.09526967019390842,0.0952172289811877,0.09544189791557427,0.09516743229586982,0.09603650587581454,0.09522454170226104,0.09072696141639416,0.093225045983941,0.08992630218060399,0.09580887011662537,0.09411660711838933,0.09293804775594544,0.09526967019390842,0.09111859585886282,0.09549267775745653,0.09256573333098385,0.09311555888509859,0.09172814161408795,0.09111859585886282,0.09193880471897926,0.09067264701256936,0.09158898077949462,0.09017490756350341,0.09590718774130876,0.09067264701256936,0.09483138333519152,0.09285139858196455,0.09141282455923014,0.09359511933530047,0.09007466923917457,0.093914383882845,0.09141282455923014,0.09656209841597287,0.09331549871587108,0.09580887011662537,0.093225045983941,0.09513178894810208,0.09256573333098385,0.09353514940458703,0.0921296357369893,0.09246045154786924,0.0956356335130967,0.09001809520353626,0.0971480714568926,0.08992630218060399,0.09353514940458703,0.09017490756350341,0.09593052344533971,0.09067264701256936,0.0915494566489187,0.09433815981217569,0.09108488408156758,0.09148169177060295,0.09260314548017892,0.0915494566489187,0.097332236097731,0.09273637805534005,0.09603650587581454,0.09231221502091823,0.09287716516158197,0.09656209841597287,0.09246045154786924,0.09359511933530047,0.09433815981217569
0.10423804373442778,0.1016640019791484,0.10338474013487094,0.10495567640973048,0.10646750203146126,0.09815382627079419,0.10390145940292561,0.10728272399911166,0.10333091771191236,0.10333091771191236,0.10096600642484956,0.10366290705039438,0.10429881027771279,0.10534954906542182,0.10534954906542182,0.10261269332362521,0.10504124249807684,0.10534954906542182,0.101126257880759,0.101126257880759,0.1012343211228788,0.10267842795294607,0.10430502585153197,0.10406532627533324,0.10694467400049054,0.1016640019791484,0.1018286156595348,0.10265452985648932,0.10403265137257882,0.10251713291267987,0.10512393499822027,0.1006377440490001,0.10372599909436821,0.09815382627079419,0.10245030947635392,0.10390145940292561,0.10423804373442778,0.1044310881793831,0.10694467400049054,0.10405909398089135,0.1018715006315287,0.10410268011870563,0.10065040969910449,0.09994129754435002,0.10265452985648932,0.10429538924481378,0.10267842795294607,0.10156920618033481,0.10633168682910875,0.10065040969910449,0.10549198571403866,0.10429881027771279,0.10531897675092312,0.10497142746755775,0.09973873697351567,0.1006377440490001,0.10418126536828974,0.10267842795294607,0.10633168682910875,0.10646750203146126,0.10410268011870563,0.10250994972116574,0.10263668148251551,0.10405095903296777,0.10418126536828974,0.09994129754435002,0.1033558190257019,0.10468023598911168,0.09994129754435002,0.10357700674322265,0.10263668148251551,0.10203101577646471,0.10378356407130354,0.10429538924481378,0.10347791370282843,0.1053726026200341,0.10646750203146126,0.10265452985648932,0.10627495019562203,0.10405095903296777,0.1044310881793831,0.10531897675092312,0.10350013304338515,0.10297409447048467,0.10259555150830646,0.10559561563175222,0.1016640019791484,0.10429881027771279,0.10406532627533324,0.09994129754435002,0.10261761989073481,0.10559561563175222,0.10501670423775347,0.10265452985648932,0.10257882813563353,0.10405909398089135,0.10253487238805405,0.10203101577646471,0.10542238148521633,0.10526089824829017
0.11752633071386458,0.1173534477092761,0.11584135825791121,0.11687235559052013,0.11677585138363016,0.11668799327772236,0.11362817513337242,0.12162391528416666,0.11533468540549742,0.11378200192333612,0.11440979806871189,0.11763521025374148,0.1125747648754647,0.11602338266757088,0.11297176981111293,0.11386773809505896,0.11792088147524038,0.11785641491154458,0.11713683300624392,0.12038955046024732,0.11533468540549742,0.11492929678221618,0.11691682110984179,0.11561058923517634,0.1125747648754647,0.11862192275254421,0.11534381774512142,0.11527355640732893,0.11752633071386458,0.11528130446255322,0.11785641491154458,0.11691682110984179,0.1139757320593998,0.1179905425171508,0.1167257448878371,0.11614762344149805,0.1150420134532323,0.11584135825791121,0.11618888124329761,0.11664251672378355,0.11677585138363016,0.11602338266757088,0.11225294616286974,0.1135238131800492,0.11618888124329761,0.11561058923517634,0.11530961512730219,0.11763521025374148,0.11668799327772236,0.11170850651175288,0.1167257448878371,0.11730723948383859,0.11573605040444904,0.11554958391905996,0.11543862507423377,0.11464134341772411,0.1135238131800492,0.11378200192333612,0.11752633071386458,0.11763521025374148,0.11650429703695463,0.11816528728290235,0.11693161473507063,0.11554958391905996,0.1150420134532323,0.11854280690076237,0.11862192275254421,0.11482360648629443,0.1160323064586944,0.1167257448878371,0.1125747648754647,0.11650429703695463,0.11614762344149805,0.1173534477092761,0.11650429703695463,0.11456409707596703,0.11508533377547916,0.11456409707596703,0.11216887812333348,0.11528130446255322,0.1125747648754647,0.1160323064586944,0.1170697092229239,0.11618888124329761,0.1160323064586944,0.11414215948714834,0.11393492605702354,0.11691682110984179,0.1125747648754647,0.1138248262371408,0.11456409707596703,0.1150420134532323,0.11393492605702354,0.11140086582761377,0.11751569297728173,0.11528130446255322,0.11655957261635386,0.11730723948383859,0.11579632006016008,0.11325694570036246
