Interval_ID,Boundary_Hour,Unit_ID,On_Status,Consecutive_State_Hours
1,24,1,0,1
1,24,2,0,1
1,24,3,0,1
1,24,4,1,4
1,24,5,1,24
1,24,6,0,1
1,24,7,1,19
1,24,8,0,1
1,24,9,0,1
1,24,10,1,24
1,24,11,1,24
1,24,12,0,1
1,24,13,0,1
1,24,14,1,12
1,24,15,0,1
1,24,16,1,19
1,24,17,0,1
1,24,18,0,1
1,24,19,1,12
1,24,20,1,24
1,24,21,1,19
1,24,22,1,12
1,24,23,1,19
1,24,24,0,2
1,24,25,1,19
1,24,26,1,19
1,24,27,1,24
1,24,28,1,24
1,24,29,1,24
1,24,30,1,20
1,24,31,0,1
1,24,32,0,1
1,24,33,0,1
1,24,34,1,12
1,24,35,1,12
1,24,36,1,4
1,24,37,1,12
1,24,38,0,1
1,24,39,1,19
1,24,40,1,19
1,24,41,0,1
1,24,42,0,1
1,24,43,1,24
1,24,44,1,19
1,24,45,1,24
1,24,46,0,1
1,24,47,1,12
1,24,48,1,12
1,24,49,0,1
1,24,50,0,1
1,24,51,0,1
1,24,52,1,12
1,24,53,1,12
1,24,54,0,1
1,24,55,0,1
1,24,56,0,1
1,24,57,0,1
1,24,58,1,4
1,24,59,1,24
1,24,60,0,1
1,24,61,1,19
1,24,62,0,1
1,24,63,0,1
1,24,64,1,24
1,24,65,1,24
1,24,66,0,1
1,24,67,0,1
1,24,68,1,12
1,24,69,0,1
1,24,70,1,19
1,24,71,0,1
1,24,72,0,1
1,24,73,1,19
1,24,74,1,24
1,24,75,1,19
1,24,76,1,12
1,24,77,1,19
1,24,78,1,19
1,24,79,1,19
1,24,80,1,19
1,24,81,1,24
1,24,82,1,24
1,24,83,1,24
1,24,84,1,12
1,24,85,0,1
1,24,86,0,1
1,24,87,0,1
1,24,88,1,12
1,24,89,1,12
1,24,90,1,4
1,24,91,1,12
1,24,92,0,1
1,24,93,1,19
1,24,94,1,19
1,24,95,0,1
1,24,96,0,1
1,24,97,1,24
1,24,98,1,19
1,24,99,1,24
1,24,100,0,1
1,24,101,1,12
1,24,102,1,12
1,24,103,0,1
1,24,104,0,1
1,24,105,1,12
1,24,106,1,12
1,24,107,1,12
1,24,108,0,1
1,24,109,0,1
1,24,110,0,1
1,24,111,0,1
1,24,112,1,4
1,24,113,1,24
1,24,114,0,1
1,24,115,1,19
1,24,116,0,1
1,24,117,0,1
1,24,118,1,24
1,24,119,1,24
1,24,120,0,1
1,24,121,0,1
1,24,122,1,12
1,24,123,0,1
1,24,124,1,19
1,24,125,0,1
1,24,126,0,1
1,24,127,1,19
1,24,128,1,24
1,24,129,1,19
1,24,130,1,19
1,24,131,1,19
1,24,132,1,19
1,24,133,1,19
1,24,134,1,19
1,24,135,1,24
1,24,136,1,24
1,24,137,1,24
1,24,138,1,20
1,24,139,0,1
1,24,140,0,1
1,24,141,0,1
1,24,142,1,12
1,24,143,1,12
1,24,144,1,4
1,24,145,1,12
1,24,146,0,1
1,24,147,1,19
1,24,148,1,19
1,24,149,0,1
1,24,150,0,1
1,24,151,1,24
1,24,152,1,19
1,24,153,1,24
1,24,154,0,1
1,24,155,1,12
1,24,156,1,12
1,24,157,0,1
1,24,158,0,1
1,24,159,1,12
1,24,160,1,12
1,24,161,1,12
1,24,162,0,1
1,24,163,0,1
1,24,164,0,1
1,24,165,0,1
1,24,166,1,4
1,24,167,1,24
1,24,168,0,1
1,24,169,1,19
1,24,170,0,1
1,24,171,0,1
1,24,172,1,24
1,24,173,1,24
1,24,174,0,1
1,24,175,0,1
1,24,176,1,12
1,24,177,0,1
1,24,178,1,19
1,24,179,0,1
1,24,180,0,1
1,24,181,1,19
1,24,182,1,24
1,24,183,1,19
1,24,184,1,12
1,24,185,1,19
1,24,186,0,1
1,24,187,1,19
1,24,188,1,19
1,24,189,1,24
1,24,190,1,24
1,24,191,1,24
1,24,192,1,20
1,24,193,0,1
1,24,194,0,1
1,24,195,0,1
1,24,196,1,12
1,24,197,1,12
1,24,198,1,4
1,24,199,1,12
