algorithm,scenarios,max_abs_balance_error,total_load_curtailment,total_wind_curtailment,peak_served_load
benchmark_uc,20,1.2500001034254637e-9,-3.4446161963300863e-9,50.55484089789283,3.286100730495279
benders,20,4.440892098500626e-16,0.0,57.7273610149069,3.2861000000000007
ccg,20,1.2500001034254637e-9,-2.0720973054941335e-9,29.065788516820017,3.286100000255715
benchmark_uc,50,1.022003814910022e-9,-1.0840570049249742e-9,539.7519367479526,3.2861000003478913
benders,50,4.440892098500626e-16,0.0,183.94052712068384,3.2861000000000007
ccg,50,9.749356877364335e-11,-5.528635027773677e-10,12.852958516290764,3.2861000000408884
