U_norm,T_dwell_rem,L_norm,sigma_load,R_wind_max,X_delta_norm,X_switch_ratio,To_star
0.4072022160664821,0.0,0.20184228656048386,10.0,0.05,0.26731301939058183,0.48148148148148145,12.0
0.4072022160664821,0.0,0.29316032600450886,10.0,0.05,0.2063711911357341,0.2962962962962963,2.0
0.4072022160664821,0.0,0.21724373286688767,10.0,0.05,0.592797783933518,0.8333333333333334,12.0
0.4072022160664821,0.0,0.27440532465664524,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.28998981673882923,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.2945878206415175,10.0,0.05,0.04155124653739613,0.05555555555555555,12.0
0.4072022160664821,0.0,0.31896439654172115,10.0,0.05,0.07617728531855956,0.06481481481481481,12.0
0.4072022160664821,0.0,0.23037659591011098,10.0,0.05,0.592797783933518,0.8333333333333334,12.0
0.4072022160664821,0.0,0.2846684985997174,10.0,0.05,0.592797783933518,0.8333333333333334,12.0
0.4072022160664821,0.0,0.23768777781587833,10.0,0.05,0.23545706371191139,0.1574074074074074,12.0
0.4072022160664821,0.0,0.23404644861353943,10.0,0.05,0.4570637119113574,0.39814814814814814,12.0
0.4072022160664821,0.0,0.2731402073459637,10.0,0.05,0.5858725761772854,0.8240740740740741,12.0
0.4072022160664821,0.0,0.3065217653974904,10.0,0.05,0.07617728531855956,0.06481481481481481,12.0
0.4072022160664821,0.0,0.28223794031572697,10.0,0.05,0.14542936288088645,0.21296296296296297,12.0
0.4072022160664821,0.0,0.29518587565067694,10.0,0.05,0.128808864265928,0.2222222222222222,12.0
0.4072022160664821,0.0,0.32675817549651587,10.0,0.05,0.4030470914127425,0.35185185185185186,12.0
0.4072022160664821,0.0,0.2937686621897226,10.0,0.05,0.0554016620498615,0.05555555555555555,7.0
0.4072022160664821,0.0,0.27750829159206963,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.2857410460081325,10.0,0.05,0.592797783933518,0.8333333333333334,7.0
0.4072022160664821,0.0,0.2972961833899982,10.0,0.05,0.09695290858725764,0.07407407407407407,12.0
0.4072022160664821,0.0,0.25985460683787565,10.0,0.05,0.013850415512465375,0.037037037037037035,2.0
0.4072022160664821,0.0,0.325771415925041,10.0,0.05,0.08725761772853187,0.09259259259259259,7.0
0.4072022160664821,0.0,0.26317207586436214,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.2806034308980912,10.0,0.05,0.08725761772853187,0.09259259259259259,12.0
0.4072022160664821,0.0,0.2654919960814116,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.28254652774231126,10.0,0.05,0.024930747922437678,0.05555555555555555,12.0
0.4072022160664821,0.0,0.2754628527334856,10.0,0.05,0.5096952908587258,0.7962962962962963,2.0
0.4072022160664821,0.0,0.2576780515235078,10.0,0.05,0.010387811634349032,0.027777777777777776,2.0
0.4072022160664821,0.0,0.29278380612550364,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.28517787479414874,10.0,0.05,0.013850415512465375,0.037037037037037035,7.0
0.4072022160664821,0.0,0.24712007525849278,10.0,0.05,0.010387811634349032,0.027777777777777776,12.0
0.4072022160664821,0.0,0.3355546020764061,10.0,0.05,0.4875346260387813,0.5740740740740741,12.0
0.4072022160664821,0.0,0.30836033545780567,10.0,0.05,0.49584487534626054,0.7592592592592593,2.0
0.4072022160664821,0.0,0.26826430934204154,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.2952597712204379,10.0,0.05,0.09695290858725764,0.07407407407407407,12.0
0.4072022160664821,0.0,0.19656958588761642,10.0,0.05,0.11357340720221608,0.06481481481481481,12.0
0.4072022160664821,0.0,0.2061951753422961,10.0,0.05,0.592797783933518,0.8333333333333334,12.0
0.4072022160664821,0.0,0.27786789954396585,10.0,0.05,0.592797783933518,0.8333333333333334,12.0
0.4072022160664821,0.0,0.23797974087459242,10.0,0.05,0.031163434903047096,0.037037037037037035,7.0
0.4072022160664821,0.0,0.2683694212140922,10.0,0.05,0.592797783933518,0.8333333333333334,12.0
0.4072022160664821,0.0,0.27109525795862094,10.0,0.05,0.020775623268698064,0.046296296296296294,12.0
0.4072022160664821,0.0,0.24214923531463453,10.0,0.05,0.1800554016620499,0.1111111111111111,12.0
0.4072022160664821,0.0,0.25745761654359384,10.0,0.05,0.592797783933518,0.8333333333333334,12.0
0.4072022160664821,0.0,0.22895077099262368,10.0,0.05,0.592797783933518,0.8333333333333334,12.0
0.4072022160664821,0.0,0.29375729521323257,10.0,0.05,0.5311634349030472,0.6203703703703703,12.0
0.4072022160664821,0.0,0.2685103283463252,10.0,0.05,0.592797783933518,0.8333333333333334,2.0
0.4072022160664821,0.0,0.27855644479193914,10.0,0.05,0.5221606648199447,0.75,7.0
0.4072022160664821,0.0,0.3182114856772932,10.0,0.05,0.5650969529085873,0.8148148148148148,12.0
