U_norm,T_dwell_rem,L_norm,sigma_load,R_wind_max,X_delta_norm,X_switch_ratio,To_star
0.407202216066482,0.0,0.42436274378387456,10.0,0.05,0.592797783933518,0.8333333333333334,2.0
0.407202216066482,0.0,0.38262843499186505,10.0,0.05,0.592797783933518,0.8333333333333334,2.0
0.407202216066482,0.0,0.322820384717893,10.0,0.05,0.592797783933518,0.8333333333333334,7.0
0.407202216066482,0.0,0.3458846632019387,10.0,0.05,0.592797783933518,0.8333333333333334,12.0
0.407202216066482,0.0,0.32677200689287594,10.0,0.05,0.05124653739612189,0.053703703703703705,2.0
0.407202216066482,0.0,0.3671790037741336,10.0,0.05,0.592797783933518,0.8333333333333334,2.0
0.407202216066482,0.0,0.3262939588267263,10.0,0.05,0.592797783933518,0.8333333333333334,7.0
0.407202216066482,0.0,0.3359475727763203,10.0,0.05,0.0221606648199446,0.040740740740740744,7.0
0.407202216066482,0.0,0.3666110333311015,10.0,0.05,0.5637119113573407,0.8203703703703704,12.0
0.407202216066482,0.0,0.362990658686487,10.0,0.05,0.04224376731301939,0.075,7.0
0.407202216066482,0.0,0.36193641092794215,10.0,0.05,0.592797783933518,0.8333333333333334,12.0
0.407202216066482,0.0,0.3833185771912293,10.0,0.05,0.39813019390581716,0.7379629629629629,7.0
0.407202216066482,0.0,0.40729010429321066,10.0,0.05,0.592797783933518,0.8333333333333334,12.0
0.407202216066482,0.0,0.36406796993097384,10.0,0.05,0.592797783933518,0.8333333333333334,7.0
0.407202216066482,0.0,0.31795071256622115,10.0,0.05,0.592797783933518,0.8333333333333334,2.0
0.407202216066482,0.0,0.3861113969110768,10.0,0.05,0.10678670360110802,0.11388888888888889,7.0
0.407202216066482,0.0,0.371054926586929,10.0,0.05,0.592797783933518,0.8333333333333334,12.0
0.407202216066482,0.0,0.35180650330325464,10.0,0.05,0.014542936288088643,0.03796296296296296,2.0
0.407202216066482,0.0,0.3841642079256544,10.0,0.05,0.45290858725761773,0.6277777777777778,2.0
0.407202216066482,0.0,0.34671288121073723,10.0,0.05,0.03254847645429363,0.04537037037037037,7.0
0.407202216066482,0.0,0.29555452831465895,10.0,0.05,0.592797783933518,0.8333333333333334,2.0
0.407202216066482,0.0,0.33076667012932964,10.0,0.05,0.5277008310249307,0.5185185185185185,2.0
0.407202216066482,0.0,0.3741210386056703,10.0,0.05,0.03677285318559557,0.10833333333333334,7.0
0.407202216066482,0.0,0.3790672115803928,10.0,0.05,0.3587257617728532,0.40370370370370373,7.0
0.407202216066482,0.0,0.41459018923804425,10.0,0.05,0.592797783933518,0.8333333333333334,2.0
0.407202216066482,0.0,0.2857511082608005,10.0,0.05,0.04916897506925208,0.05277777777777778,2.0
0.407202216066482,0.0,0.3567837781580718,10.0,0.05,0.592797783933518,0.8333333333333334,12.0
0.407202216066482,0.0,0.3664504639275698,10.0,0.05,0.592797783933518,0.8333333333333334,12.0
0.407202216066482,0.0,0.2911201061862172,10.0,0.05,0.195983379501385,0.4425925925925926,2.0
0.407202216066482,0.0,0.4076346659454197,10.0,0.05,0.592797783933518,0.8333333333333334,7.0
0.407202216066482,0.0,0.3824297295147843,10.0,0.05,0.3898891966759003,0.7175925925925926,7.0
0.407202216066482,0.0,0.34858782216274675,10.0,0.05,0.07638504155124655,0.08888888888888889,2.0
0.407202216066482,0.0,0.38370512769188303,10.0,0.05,0.592797783933518,0.8333333333333334,2.0
0.407202216066482,0.0,0.3063293244054414,10.0,0.05,0.592797783933518,0.8333333333333334,2.0
0.407202216066482,0.0,0.3819036502240578,10.0,0.05,0.4909972299168975,0.787962962962963,7.0
0.407202216066482,0.0,0.3695742845458377,10.0,0.05,0.592797783933518,0.8333333333333334,12.0
0.407202216066482,0.0,0.4156109435341122,10.0,0.05,0.592797783933518,0.8333333333333334,12.0
0.407202216066482,0.0,0.37468736757739346,10.0,0.05,0.592797783933518,0.8333333333333334,7.0
0.407202216066482,0.0,0.37086893969584533,10.0,0.05,0.06329639889196677,0.08055555555555556,12.0
0.407202216066482,0.0,0.39741770442995483,10.0,0.05,0.5429362880886427,0.8111111111111111,7.0
0.407202216066482,0.0,0.35720533111561914,10.0,0.05,0.5595567867036011,0.7888888888888889,2.0
0.407202216066482,0.0,0.381525685706668,10.0,0.05,0.5782548476454293,0.8268518518518518,7.0
0.407202216066482,0.0,0.395195910492434,10.0,0.05,0.33587257617728533,0.32037037037037036,12.0
0.407202216066482,0.0,0.3192971872576162,10.0,0.05,0.592797783933518,0.8333333333333334,7.0
0.407202216066482,0.0,0.3568549445474843,10.0,0.05,0.029778393351800554,0.058333333333333334,12.0
0.407202216066482,0.0,0.3734909726485333,10.0,0.05,0.592797783933518,0.8333333333333334,12.0
0.407202216066482,0.0,0.3545856280315877,10.0,0.05,0.2146814404432133,0.1574074074074074,2.0
0.407202216066482,0.0,0.36011801203772087,10.0,0.05,0.31786703601108035,0.2824074074074074,7.0
