algorithm,status,iterations,upper_bound,lower_bound,gap,runtime_seconds
benders,bound_inconsistency,24,193966.76468312196,210879.16820431204,0.08719227517524562,9.312599458
ccg,converged,2,152036.84126773363,152036.84197254595,4.635799564295151e-9,1.568227625
benchmark_uc,OPTIMAL,1,152036.84197254595,152036.84197254595,0.0,0.1878305
