scenario,time,load_demand,served_load,thermal_generation,wind_available,wind_used,load_curtailment,wind_curtailment,storage_charge,storage_discharge,balance_error
1,1,2.1919,2.1919,0.11150642293898824,2.187691755952944,2.080393577061012,0.0,0.10729817889193213,0.0,0.0,0.0
1,2,2.3535000000000004,2.3535000000000004,0.16529017651121336,2.188209823488787,2.188209823488787,0.0,0.0,0.0,0.0,0.0
1,3,2.3467000000000002,2.3467000000000002,0.1123033092252033,2.2792369008132067,2.2343966907747967,0.0,0.04484021003840981,0.0,0.0,0.0
1,4,2.3673,2.3673,0.15853242750030772,2.2087675724996925,2.2087675724996925,0.0,0.0,0.0,0.0,0.0
1,5,2.3906,2.3906,0.29651926145563134,2.0940807385443687,2.0940807385443687,0.0,0.0,0.0,0.0,0.0
1,6,2.4448,2.4448,0.6791674255809725,1.7656325744190273,1.7656325744190273,0.0,0.0,0.0,0.0,0.0
1,7,2.7338999999999993,2.7338999999999993,1.1141809102056308,2.045640822522375,1.6197190897943687,0.0,0.42592173272800604,0.0,0.0,0.0
1,8,2.904,2.904,0.9150653454463946,2.1813817855784254,1.9889346545536053,0.0,0.19244713102482014,0.0,0.0,0.0
1,9,2.8355999999999995,2.8355999999999995,0.9147446646959393,2.2666587837571845,1.92085533530406,0.0,0.3458034484531244,0.0,0.0,0.0
1,10,2.8120000000000003,2.8120000000000003,0.9146208619260051,2.243447704020489,1.8973791380739953,0.0,0.34606856594649404,0.0,0.0,0.0
1,11,3.2861000000000007,3.2861000000000007,1.1537348074526217,2.132365192547379,2.132365192547379,0.0,0.0,0.0,0.0,0.0
1,12,3.2810000000000006,3.2810000000000006,1.0393433796342197,2.241656620365781,2.241656620365781,0.0,0.0,0.0,0.0,0.0
1,13,3.2618,3.2618,1.0168799780402096,2.2839121608380886,2.2449200219597905,0.0,0.03899213887829811,0.0,0.0,0.0
1,14,3.2360000000000007,3.2360000000000007,1.089868918685735,2.1461310813142656,2.1461310813142656,0.0,0.0,0.0,0.0,0.0
1,15,3.2686,3.2686,1.0169153386789318,2.28935471572737,2.251684661321068,0.0,0.03767005440630185,0.0,0.0,0.0
1,16,2.8779000000000003,2.8779000000000003,0.5584923429697892,2.319407657030211,2.319407657030211,0.0,0.0,0.0,0.0,0.0
1,17,2.6,2.6,0.41356857714877604,2.186431422851224,2.186431422851224,0.0,0.0,0.0,0.0,0.0
1,18,2.4674000000000005,2.4674000000000005,0.2794987536528257,2.1879012463471748,2.1879012463471748,0.0,0.0,0.0,0.0,0.0
1,19,2.5596999999999994,2.5596999999999994,0.3709672339613852,2.188732766038614,2.188732766038614,0.0,0.0,0.0,0.0,0.0
1,20,2.3735,2.3735,0.23194879796067314,2.141551202039327,2.141551202039327,0.0,0.0,0.0,0.0,0.0
1,21,2.4331000000000005,2.4331000000000005,0.11280388689307154,2.553547572286126,2.320296113106929,0.0,0.2332514591791971,0.0,0.0,0.0
1,22,2.8314000000000004,2.8314000000000004,1.0147154700796588,2.2338803186352747,1.8166845299203416,0.0,0.4171957887149331,0.0,0.0,0.0
1,23,2.8305000000000002,2.8305000000000002,0.9147027770645132,2.2011082580526926,1.915797222935487,0.0,0.28531103511720557,0.0,0.0,0.0
1,24,2.4875,2.4875,0.9129693477309752,2.1273909239003865,1.5745306522690248,0.0,0.5528602716313619,0.0,0.0,0.0
2,1,2.1919,2.1919,0.11152443605163789,2.259744206551553,2.080375563948362,0.0,0.1793686426031911,0.0,0.0,0.0
2,2,2.3535000000000004,2.3535000000000004,0.11239154145549665,2.496165821986602,2.241108458544504,0.0,0.2550573634420982,0.0,0.0,0.0
2,3,2.3467000000000002,2.3467000000000002,0.11230532968060966,2.287318722438625,2.2343946703193907,0.0,0.052924052119234316,0.0,0.0,0.0
2,4,2.3673,2.3673,0.1991423092890745,2.1681576907109257,2.1681576907109257,0.0,0.0,0.0,0.0,0.0
2,5,2.3906,2.3906,0.24633725355481584,2.144262746445184,2.144262746445184,0.0,0.0,0.0,0.0,0.0
2,6,2.4448,2.4448,0.5594231265496104,1.8853768734503895,1.8853768734503895,0.0,0.0,0.0,0.0,0.0
2,7,2.7338999999999993,2.7338999999999993,1.1141769483997022,2.0297935988078635,1.6197230516002974,0.0,0.4100705472075661,0.0,0.0,0.0
2,8,2.904,2.904,0.9150646790586057,2.178716234422732,1.9889353209413942,0.0,0.18978091348133774,0.0,0.0,0.0
2,9,2.8355999999999995,2.8355999999999995,0.9147291663739312,2.2046654957248517,1.9208708336260683,0.0,0.28379466209878346,0.0,0.0,0.0
2,10,2.8120000000000003,2.8120000000000003,0.914632739706326,2.2909588253038122,1.8973672602936742,0.0,0.3935915650101379,0.0,0.0,0.0
2,11,3.2861000000000007,3.2861000000000007,1.1626295743124726,2.123470425687528,2.123470425687528,0.0,0.0,0.0,0.0,0.0
2,12,3.2810000000000006,3.2810000000000006,1.016992990231914,2.3519609276553903,2.2640070097680867,0.0,0.08795391788730356,0.0,0.0,0.0
2,13,3.2618,3.2618,1.016912064928869,2.4122597154757814,2.244887935071131,0.0,0.1673717804046504,0.0,0.0,0.0
2,14,3.2360000000000007,3.2360000000000007,1.0796257760855843,2.1563742239144164,2.1563742239144164,0.0,0.0,0.0,0.0,0.0
2,15,3.2686,3.2686,1.0169237081206146,2.322832482457962,2.251676291879386,0.0,0.07115619057857639,0.0,0.0,0.0
2,16,2.8779000000000003,2.8779000000000003,0.655548851187203,2.2223511488127974,2.2223511488127974,0.0,0.0,0.0,0.0,0.0
2,17,2.6,2.6,0.5034338666862195,2.0965661333137806,2.0965661333137806,0.0,0.0,0.0,0.0,0.0
2,18,2.4674000000000005,2.4674000000000005,0.3084269852194801,2.1589730147805204,2.1589730147805204,0.0,0.0,0.0,0.0,0.0
2,19,2.5596999999999994,2.5596999999999994,0.42651923689209337,2.133180763107906,2.133180763107906,0.0,0.0,0.0,0.0,0.0
2,20,2.3735,2.3735,0.16491288066299337,2.2085871193370066,2.2085871193370066,0.0,0.0,0.0,0.0,0.0
2,21,2.4331000000000005,2.4331000000000005,0.11277787824691268,2.4495129876507273,2.3203221217530876,0.0,0.12919086589763953,0.0,0.0,0.0
2,22,2.8314000000000004,2.8314000000000004,1.0146733339943463,2.0653359773853865,1.816726666005654,0.0,0.24860931137973252,0.0,0.0,0.0
2,23,2.8305000000000002,2.8305000000000002,0.9147238961246834,2.2855844987337375,1.915776103875317,0.0,0.36980839485842065,0.0,0.0,0.0
2,24,2.4875,2.4875,0.9129615310917992,2.0961243671966083,1.5745384689082007,0.0,0.5215858982884077,0.0,0.0,0.0
3,1,2.1919,2.1919,0.11151178092388697,2.20912369554786,2.080388219076113,0.0,0.12873547647174716,0.0,0.0,0.0
3,2,2.3535000000000004,2.3535000000000004,0.11234640055418285,2.315602216731354,2.2411535994458176,0.0,0.0744486172855364,0.0,0.0,0.0
3,3,2.3467000000000002,2.3467000000000002,0.11229408862822954,2.2423545129180993,2.2344059113717707,0.0,0.007948601546328593,0.0,0.0,0.0
3,4,2.3673,2.3673,0.1241049994763177,2.2431950005236825,2.2431950005236825,0.0,0.0,0.0,0.0,0.0
3,5,2.3906,2.3906,0.25934509427669816,2.131254905723302,2.131254905723302,0.0,0.0,0.0,0.0,0.0
