x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
499.77150586892037,499.7715058615589,499.7715058615589,498.14237347432123,498.14237347432123,498.16121332885825,498.16121332885825,0.0,0.0,0.0
499.77150586892037,499.7715058447802,499.7715058447802,498.1423734743192,498.1423734743192,498.14237347432487,498.14237347432487,0.0,0.0,0.0
499.77150586892037,499.7715058479299,499.7715058479299,498.1423734743153,498.1423734743153,498.14237347428616,498.14237347428616,0.0,0.0,0.0
499.838172535587,499.771505865872,499.771505865872,498.1423734743047,498.1423734743047,498.1423734743083,498.1423734743083,0.0,0.0,0.0
499.77150586892037,499.7715058447739,499.7715058447739,498.1423734740893,498.1423734740893,498.14237347428855,498.14237347428855,0.0,0.0,0.0
499.77150586892037,499.7715058447782,499.7715058447782,498.14237347429554,498.14237347429554,498.1423734743233,498.1423734743233,0.0,0.0,0.0
499.77150586892037,499.771505844783,499.771505844783,498.14237347429844,498.14237347429844,498.14237347430213,498.14237347430213,0.0,0.0,0.0
499.77150586892037,499.7715058447823,499.7715058447823,498.14237347431913,498.14237347431913,498.14237347431254,498.14237347431254,0.0,0.0,0.0
499.77150586892037,499.7715058447826,499.7715058447826,498.142373474313,498.142373474313,498.1423734743108,498.1423734743108,0.0,0.0,0.0
499.7715057852118,499.7715058662059,499.7715058662059,498.1423734743178,498.1423734743178,498.1423734743178,498.1423734743178,0.0,0.0,0.0
499.77150586892037,502.40445899288306,502.40445899288306,498.14237347432834,498.14237347432834,498.14237347432834,498.14237347432834,0.0,0.0,0.0
499.77150586892037,499.83817251144967,499.83817251144967,498.1423734743199,498.1423734743199,498.1423734743199,498.1423734743199,0.0,0.0,0.0
499.7443068937108,499.7715058447826,499.7715058447826,498.1423734743265,498.1423734743265,498.1423734743138,498.1423734743138,0.0,0.0,0.0
499.77150586892037,499.7715058458317,499.7715058458317,498.2090401409931,498.2090401409931,498.14237347431435,498.14237347431435,0.0,0.0,0.0
