x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
4.615384400731507,4.615384392268234,4.615384392268234,4.461139101830674,4.461139101830674,4.46037957442636,4.46037957442636,0.0,0.0,0.0
4.615384400731509,4.615384400719322,4.615384400719322,4.461139101828808,4.461139101828808,4.461139101830503,4.461139101830503,0.0,0.0,0.0
4.61538440073151,4.615384400721615,4.615384400721615,4.461139101832918,4.461139101832918,4.461139101832737,4.461139101832737,0.0,0.0,0.0
4.606973059002973,4.615384393943218,4.615384393943218,4.461591583361502,4.461591583361502,4.461139101831053,4.461139101831053,0.0,0.0,0.0
4.615384400731511,4.615384400711332,4.615384400711332,4.461139101828634,4.461139101828634,4.461591583363765,4.461591583363765,0.0,0.0,0.0
4.615384400731511,4.615384400714442,4.615384400714442,4.461139101829043,4.461139101829043,4.461139101828295,4.461139101828295,0.0,0.0,0.0
4.61538440073151,4.615384401339217,4.615384401339217,4.461139101828918,4.461139101828918,4.461139101827821,4.461139101827821,0.0,0.0,0.0
4.61538440073151,4.6153844001041495,4.6153844001041495,4.46928316841496,4.46928316841496,4.461139101829161,4.461139101829161,0.0,0.0,0.0
4.61538440073151,4.615384400721615,4.615384400721615,4.461139101831015,4.461139101831015,4.461591583367253,4.461591583367253,0.0,0.0,0.0
4.61538440073151,4.615384315645075,4.615384315645075,4.461139101830772,4.461139101830772,4.461139101830772,4.461139101830772,0.0,0.0,0.0
4.61538440073151,4.810765935751805,4.810765935751805,4.461139101827444,4.461139101827444,4.461139101827444,4.461139101827444,0.0,0.0,0.0
4.615384400731509,4.606973058993565,4.606973058993565,4.461139101829335,4.461139101829335,4.461139101829335,4.461139101829335,0.0,0.0,0.0
4.623922069727276,4.615384400104499,4.615384400104499,4.461139101829584,4.461139101829584,4.461591583365664,4.461591583365664,0.0,0.0,0.0
4.615384400731509,4.6153844007216165,4.6153844007216165,4.453538248033414,4.453538248033414,4.461139101524363,4.461139101524363,0.0,0.0,0.0
