profile,method,solver,runs,successful_runs,success_rate_pct,median_wall_time_sec,median_simulation_time_sec,median_offline_training_time_sec,median_offline_preprocess_time_sec,median_allocated_mb,median_peak_rss_mb,median_total_cost,startup_shutdown_cost,fuel_cost,reserve_cost,load_shed_cost,wind_curtail_cost,physical_units,equivalent_units,state_reduction_pct,median_integer_variables,cluster_attempts,cluster_successes,cluster_fallbacks,mean_overlap_hours,max_overlap_hours,ramp_event_intervals,reference_repairs,mean_pre_repair_cost_gap_pct,speedup_vs_standard,wall_time_delta_pct,cost_delta_pct,allocated_delta_pct,peak_rss_delta_pct,integer_reduction_pct
baseline,integrated_uc,gurobi,1,1,100.0,56.4084313,42.87000012397766,0.0,0.0,45182.84816169739,2005.56640625,5.59057145713e6,30020.0,5.56055145713e6,0.0,0.0,0.0,108.0,108.0,0.0,23328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
baseline,standard,gurobi,1,1,100.0,38.1035952,24.572999954223633,0.0,0.0,19055.372178077698,1939.7890625,5.69992158947e6,29230.0,5.67069043955e6,0.0,0.0,1.14992,108.0,108.0,0.0,7776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.744597737510235,-42.68019621376281,1.9559741464450608,-57.82609341074827,-3.279739007644744,66.66666666666667
baseline,adaptive_overlap,gurobi,1,1,100.0,57.1528256,31.075999975204468,0.0,0.0,29841.957787513733,1991.91796875,5.6886734148625005e6,31720.0,5.6569534148625005e6,0.0,0.0,0.0,108.0,108.0,0.0,7776.0,0.0,0.0,0.0,7.333333333333333,12.0,0.0,0.0,0.0,1.3795211789864725,-27.511080276803355,1.7547751331822292,-33.95290690680386,-0.6805278278229521,66.66666666666667
baseline,clustered_pcm,gurobi,1,1,100.0,48.7393179,35.388999938964844,0.0,0.0,9836.804997444153,2006.6484375,7.2386832682e6,32056.0,5.72139521084e6,237.42062,0.0,1.48499463674e6,108.0,31.0,71.2962962962963,2232.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2113933764140057,-17.45043191830693,29.480202940042233,-78.22889570342966,0.053951404781615864,90.4320987654321
baseline,clustered_adaptive_overlap,gurobi,1,1,100.0,69.3261137,43.694000005722046,0.0,0.0,13463.883200645447,2203.1875,5.707995716266256e6,32351.0,5.675412504478848e6,232.2117874088309,0.0,2.569976097667205e-12,108.0,31.0,71.2962962962963,2232.0,3.0,3.0,0.0,6.666666666666667,12.0,0.0,0.0,0.0,0.9811415782112767,1.922089758249168,2.100398144209348,-70.20134022436612,9.853630033597893,90.4320987654321
smooth,integrated_uc,gurobi,1,1,100.0,61.8522262,48.07100009918213,0.0,0.0,45190.48631668091,1974.171875,5.17138625664e6,20650.0,5.15073625664e6,0.0,0.0,0.0,108.0,108.0,0.0,23328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
smooth,standard,gurobi,1,1,100.0,38.132962,24.100000143051147,0.0,0.0,19063.158749580383,1916.90625,5.26586735821e6,22970.0,5.24289735821e6,0.0,0.0,0.0,108.0,108.0,0.0,7776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9946472951803131,-49.86582327530735,1.82699757630147,-57.81599114470315,-2.9007416084275817,66.66666666666667
smooth,adaptive_overlap,gurobi,1,1,100.0,51.9015621,25.768999576568604,0.0,0.0,30929.623909950256,2017.60546875,5.207045326800037e6,21790.0,5.185255326800037e6,0.0,0.0,0.0,108.0,108.0,0.0,7776.0,0.0,0.0,0.0,8.333333333333334,9.0,0.0,0.0,0.0,1.865458531145013,-46.39387671693763,0.6895456728696514,-31.557222701245024,2.2000918106484413,66.66666666666667
smooth,clustered_pcm,gurobi,1,1,100.0,46.141346,32.08500003814697,0.0,0.0,9577.306856155396,2085.6328125,5.242343969799999e6,22220.0,5.21987177997e6,252.18982,0.0,1.0e-5,108.0,31.0,71.2962962962963,2232.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4982390538266743,-33.254977071523705,1.3721217027424792,-78.80680728009742,5.645959144261448,90.4320987654321
smooth,clustered_adaptive_overlap,gurobi,1,1,100.0,82.0832556,55.989999771118164,0.0,0.0009999275207519531,12644.254385948181,2266.71484375,5.232686171737229e6,22886.0,5.20954253376307e6,257.6379741596794,0.0,3.747804536037231e-12,108.0,31.0,71.2962962962963,2232.0,3.0,3.0,0.0,6.333333333333333,12.0,0.0,0.0,0.0,0.8585640345720993,16.47354882485743,1.1853671734251225,-72.02009666959286,14.818515675085276,90.4320987654321
