profile,method,run,Interval_ID,Start_Hour,Execution_Window_h,Steady_State_Overlap_h,Unit_Dwell_Overlap_h,Ramp_Event_Detected,Ramp_Overlap_h,Raw_Max_Overlap_h,Limiting_Factor,Final_Adaptive_Overlap_h,Total_Solved_Horizon_h,Overlap_SelectionTime_sec,Subproblem_SolveTime_sec,Optimization_Status,Reference_Cost_Gap_pct,Reference_Repair_Applied
baseline,adaptive_overlap,1,1,1,24,4,0,false,0,4,steady,4,28,1.2679998874664307,14.660000085830688,OK,,
baseline,adaptive_overlap,1,2,25,24,3,6,false,0,6,unit_dwell,6,30,0.125,3.25600004196167,OK,,
baseline,adaptive_overlap,1,3,49,24,12,3,false,0,12,steady,12,36,0.0,11.766999959945679,OK,,
baseline,clustered_adaptive_overlap,1,1,1,24,4,0,false,0,4,steady,4,28,1.7749998569488525,17.82200002670288,OK,0.0,false
baseline,clustered_adaptive_overlap,1,2,25,24,4,3,false,0,4,steady,4,28,0.12299990653991699,9.587000131607056,OK,0.0,false
baseline,clustered_adaptive_overlap,1,3,49,24,12,1,false,0,12,steady,12,36,0.0,14.38700008392334,OK,0.0,false
smooth,adaptive_overlap,1,1,1,24,9,0,false,0,9,steady,9,33,1.694000005722046,16.822999954223633,OK,,
smooth,adaptive_overlap,1,2,25,24,6,7,false,0,7,unit_dwell,7,31,0.12399983406066895,3.544999837875366,OK,,
smooth,adaptive_overlap,1,3,49,24,9,0,false,0,9,steady,9,33,0.0,3.5829999446868896,OK,,
smooth,clustered_adaptive_overlap,1,1,1,24,2,0,false,0,2,steady,2,26,1.4000000953674316,18.817999839782715,OK,0.0,false
smooth,clustered_adaptive_overlap,1,2,25,24,2,5,false,0,5,unit_dwell,5,29,0.14100003242492676,10.810999870300293,OK,0.0,false
smooth,clustered_adaptive_overlap,1,3,49,24,12,7,false,0,12,steady,12,36,0.0,24.82099986076355,OK,0.0,false
extreme_ramp,adaptive_overlap,1,1,1,24,12,0,true,12,12,steady+ramp,12,36,1.3970000743865967,25.453999996185303,OK,,
extreme_ramp,adaptive_overlap,1,2,25,24,7,4,true,12,12,ramp,12,36,0.1230001449584961,4.015000104904175,OK,,
extreme_ramp,adaptive_overlap,1,3,49,24,12,0,true,12,12,steady+ramp,12,36,0.0,12.134999990463257,OK,,
extreme_ramp,clustered_adaptive_overlap,1,1,1,24,12,0,true,12,12,steady+ramp,12,36,1.311000108718872,501.7060000896454,OK,0.0,false
extreme_ramp,clustered_adaptive_overlap,1,2,25,24,2,4,true,12,12,ramp,12,36,0.20099997520446777,68.77600002288818,OK,0.0,false
extreme_ramp,clustered_adaptive_overlap,1,3,49,24,12,0,true,12,12,steady+ramp,12,36,0.0,28.06499981880188,OK,0.0,false
