Mode,CostGapDelta_pctpoint,SolveTimeDelta_sec,MemoryDelta_MB,AvgOverlapDelta_h,LoadSheddingDelta_MWh,WindCurtailmentDelta_MWh
NoOverlap,3.3504,-6.327999830245972,0.022307395935058594,0.0,34.58839578672877,4.9979851446789585
SteadyOnly,-0.2419,-10.463000535964966,-526.7065467834473,-0.5714285714285712,34.074361714031845,2.6164334423607816
UnitOnly,-0.1838,-9.333000659942627,-798.8319368362427,-0.8571428571428572,34.220277721114726,3.6675660427097694
RampOnly,-0.769,-2.382000207901001,666.6109447479248,0.714285714285714,34.1906426525203,3.9792838198831553
Steady+Unit,0.0602,3.2829995155334473,-254.89194869995117,-0.2857142857142856,34.015975238653276,1.890113075878181
Steady+Ramp,-0.29159999999999997,1.75700044631958,-119.16961860656738,-0.14285714285714235,34.10766014052809,2.0268000841854903
Unit+Ramp,4.0779000000000005,0.21700024604797363,-536.4783382415771,-0.5714285714285712,34.074361714031724,6.059040783107507
Steady+Unit+Ramp,0.0,5.626000165939331,-401.5337371826172,-0.4285714285714288,34.015975238653276,1.890113075878181
