profile,method,run,Interval_ID,Start_Hour,Execution_Window_h,Steady_State_Overlap_h,Unit_Dwell_Overlap_h,Ramp_Event_Detected,Ramp_Overlap_h,Raw_Max_Overlap_h,Limiting_Factor,Final_Adaptive_Overlap_h,Total_Solved_Horizon_h,Overlap_SelectionTime_sec,Subproblem_SolveTime_sec,Optimization_Status,Reference_Cost_Gap_pct,Reference_Repair_Applied
baseline,adaptive_overlap,1,1,1,24,7,0,false,0,7,steady,7,31,0.8839998245239258,343.0549998283386,OK,,
baseline,adaptive_overlap,1,2,25,24,2,4,false,0,4,unit_dwell,4,28,0.20799994468688965,319.4650001525879,OK,,
baseline,adaptive_overlap,1,3,49,24,7,0,false,0,7,steady,7,31,0.002000093460083008,534.8570001125336,OK,,
baseline,clustered_adaptive_overlap,1,1,1,24,2,0,false,0,2,steady,2,26,1.065999984741211,20.378999948501587,OK,0.0,false
baseline,clustered_adaptive_overlap,1,2,25,24,2,6,false,0,6,unit_dwell,6,30,0.18000006675720215,21.84599995613098,OK,0.0,false
baseline,clustered_adaptive_overlap,1,3,49,24,2,0,false,0,2,steady,2,26,0.002000093460083008,18.661999940872192,OK,0.0,false
smooth,adaptive_overlap,1,1,1,24,7,0,false,0,7,steady,7,31,1.0950000286102295,280.6529998779297,OK,,
smooth,adaptive_overlap,1,2,25,24,7,0,false,0,7,steady,7,31,0.23000001907348633,287.7660000324249,OK,,
smooth,adaptive_overlap,1,3,49,24,7,3,false,0,7,steady,7,31,0.002000093460083008,267.4559998512268,OK,,
smooth,clustered_adaptive_overlap,1,1,1,24,2,0,false,0,2,steady,2,26,1.068000078201294,48.0699999332428,OK,0.0,false
smooth,clustered_adaptive_overlap,1,2,25,24,2,4,false,0,4,unit_dwell,4,28,0.17699980735778809,19.979000091552734,OK,0.0,false
smooth,clustered_adaptive_overlap,1,3,49,24,2,3,false,0,3,unit_dwell,3,27,0.002000093460083008,19.147000074386597,OK,0.0,false
extreme_ramp,adaptive_overlap,1,1,1,24,3,0,false,0,3,steady,3,27,0.7080001831054688,351.018000125885,OK,,
extreme_ramp,adaptive_overlap,1,2,25,24,3,4,true,12,12,ramp,12,36,0.252000093460083,653.5639998912811,OK,,
extreme_ramp,adaptive_overlap,1,3,49,24,2,0,false,0,2,steady,2,26,0.002000093460083008,415.92900013923645,OK,,
extreme_ramp,clustered_adaptive_overlap,1,1,1,24,3,0,false,0,3,steady,3,27,1.0190000534057617,539.481999874115,OK,0.0,false
extreme_ramp,clustered_adaptive_overlap,1,2,25,24,3,4,true,12,12,ramp,12,36,0.36500000953674316,930.4429998397827,OK,0.0,false
extreme_ramp,clustered_adaptive_overlap,1,3,49,24,2,0,false,0,2,steady,2,26,0.19100022315979004,613.3919999599457,OK,0.0,false
