algorithm,scenarios,max_abs_balance_error,total_load_curtailment,total_wind_curtailment,peak_served_load
benders,2,0.0,0.0,4.8148942295241595,3.2861000000000007
ccg,2,0.0,-2.540877885639584e-10,3.7140753330182683,3.2861000001244154
benders,6,4.440892098500626e-16,0.0,19.3305076846151,3.2861000000000007
ccg,6,1.2500005475146736e-9,-1.6194104185405135e-10,6.211677276098949,3.286100303821727
