algorithm,scenarios,iteration,active_scenarios,lower_bound,upper_bound,gap,added_scenarios,ram_mb
benders,2,1,2,350.0,1.1113944029802973e6,0.9996850802918738,,1394.4375
benders,2,2,2,2290.0,1.1113944029802973e6,0.997939525343247,,1354.03125
benders,2,3,2,3509.999997725,1.1113944029802973e6,0.9968418052229618,,1351.1875
benders,2,4,2,3510.0,1.1113944029802973e6,0.9968418052209148,,1349.390625
benders,2,5,2,3510.0,1.1113944029802973e6,0.9968418052209148,,1349.359375
benders,2,6,2,3510.0,1.1113944029802973e6,0.9968418052209148,,1348.3125
benders,2,7,2,3510.0,1.1113944029802973e6,0.9968418052209148,,1348.234375
benders,2,8,2,3770.0,295740.4430979184,0.9872523353197958,,1349.59375
benders,2,9,2,237089.9108756961,295740.4430979184,0.19831759095121476,,1351.28125
benders,2,10,2,237237.9775423627,295740.4430979184,0.1978169267028114,,1352.296875
benders,2,11,2,237380.91087569605,295740.4430979184,0.1973336200172745,,1352.390625
benders,2,12,2,244585.7994648291,295740.4430979184,0.17297141742625732,,1354.109375
benders,2,13,2,245913.57754236276,295740.4430979184,0.168481743766407,,1354.671875
benders,2,14,2,246100.26643125064,295740.4430979184,0.1678504845211998,,1349.78125
benders,2,15,2,248776.0775423628,295740.4430979184,0.15880264823924373,,1339.71875
benders,2,16,2,249168.64420902944,295740.4430979184,0.15747524552572528,,1338.5
benders,2,17,2,249171.04420902947,295740.4430979184,0.15746713030152776,,1338.734375
benders,2,18,2,250227.51087569614,295740.4430979184,0.1538948536943905,,1338.90625
benders,2,19,2,255072.93420902948,295740.4430979184,0.13751081341041535,,1338.6875
benders,2,20,2,255998.87623103295,295740.4430979184,0.13437988545108392,,1338.78125
benders,2,21,2,257661.00956436602,295740.4430979184,0.12875964184856412,,1338.828125
benders,2,22,2,258737.8762310329,295740.4430979184,0.1251183858357479,,1336.1875
benders,2,23,2,259505.3335714323,295740.4430979184,0.12252334901103225,,1325.453125
benders,2,24,2,270172.26345090684,295740.4430979184,0.08645479589837361,,1325.9375
benders,2,25,2,272448.88087569614,281950.3315761433,0.033699022970815284,,1320.015625
benders,2,26,2,273913.924249326,277181.0248636769,0.011786884098382877,,1317.390625
benders,2,27,2,277019.25819701015,277181.0248636769,0.0005836137836121921,,1317.328125
ccg,2,1,2,108813.97463349011,184827.04618505063,0.41126595441580677,,1234.140625
benders,6,1,6,260.0,1.1487128291855454e6,0.9997736597046765,,1275.96875
benders,6,2,6,6270.688619107415,1.1487128291855454e6,0.9945411172742381,,1276.453125
benders,6,3,6,7896.094274783272,1.1487128291855454e6,0.9931261372945797,,1273.4375
benders,6,4,6,11354.68760811643,1.1487128291855454e6,0.9901152948581959,,1272.703125
benders,6,5,6,15076.182622421104,1.1487128291855454e6,0.9868755860991845,,1270.984375
benders,6,6,6,46159.570646721004,1.1487128291855454e6,0.959816266106814,,1271.015625
benders,6,7,6,52314.87937913697,1.1487128291855454e6,0.9544578261416446,,1271.203125
benders,6,8,6,52314.87945179855,1.1487128291855454e6,0.9544578260783898,,1271.890625
benders,6,9,6,58974.40244155245,1.1487128291855454e6,0.9486604476383234,,1273.328125
