algorithm,scenarios,status,iterations,lower_bound,upper_bound,gap,elapsed_seconds,max_ram_mb,log_path
benders,20,maximum_iterations,5,143743.5426190488,1.1419848426191038e6,0.874128327053578,6.64,1525.38,/Users/yuanyiping/Documents/GitHub/02 Ongoing/module_unitcommitment-revised_ModuleUnitCommitmentTookits/output/benders/20260606_222120_scaling_20_50_fixed/logs/benders_20_scenarios.log
ccg,20,maximum_iterations,5,127019.69969765439,156092.51437034868,0.18625374054472088,5.376,1583.33,/Users/yuanyiping/Documents/GitHub/02 Ongoing/module_unitcommitment-revised_ModuleUnitCommitmentTookits/output/ccg/20260606_222120_scaling_20_50_fixed/logs/ccg_20_scenarios.log
benders,50,maximum_iterations,5,285654.4484530236,1.1307980687078128e6,0.7473868621121768,0.972,1639.69,/Users/yuanyiping/Documents/GitHub/02 Ongoing/module_unitcommitment-revised_ModuleUnitCommitmentTookits/output/benders/20260606_222120_scaling_20_50_fixed/logs/benders_50_scenarios.log
ccg,50,maximum_iterations,5,132508.79931162065,150707.30862599745,0.12075399315515845,4.928,1690.34,/Users/yuanyiping/Documents/GitHub/02 Ongoing/module_unitcommitment-revised_ModuleUnitCommitmentTookits/output/ccg/20260606_222120_scaling_20_50_fixed/logs/ccg_50_scenarios.log
