xdata,sfr_data,bfsfr_data,real_data
0.0,-0.0,-0.0,-0.009162649631978765
0.05,-0.01437790593933883,-0.013158620696416004,-0.00979178103882837
0.1,-0.028308804705521773,-0.02363270266497913,-0.023391843265486694
0.15,-0.04180140833032801,-0.04002945846947147,-0.03652926568796837
0.2,-0.054864343153372984,-0.05163825531177823,-0.04990240978979726
0.25,-0.06750614848902003,-0.0641520672115027,-0.06282035341235812
0.3,-0.07973527538409186,-0.08081605371523856,-0.0770921955517145
0.35,-0.09156008546380984,-0.09650335118352467,-0.09089620305139264
0.4,-0.1029888498634806,-0.10540858229280958,-0.10250023797145746
0.45,-0.11402974824341533,-0.11326897830613664,-0.11368680322758758
0.5,-0.12469086788463173,-0.12326605669413192,-0.12558919052637008
0.55,-0.1349802028630128,-0.12914602813903314,-0.13707256687691677
0.6,-0.144905653299503,-0.13917781334924842,-0.14727989425244709
0.65,-0.15447502468410032,-0.14999750758513972,-0.1571018841494228
0.7,-0.16369602727135282,-0.15457165073213638,-0.1667547930677319
0.75,-0.17257627554517255,-0.16628388509575628,-0.176036231615522
0.8,-0.18112328775076614,-0.17261098293055802,-0.18383318929629375
0.85,-0.18934448549158311,-0.1819010598644607,-0.19129575226384787
0.9,-0.1972471933891855,-0.1915908328168943,-0.1985050516352523
0.95,-0.20483863880400077,-0.19651817221274512,-0.20539499288673396
1.0,-0.21212595161492248,-0.206496912671239,-0.21405741373049686
1.05,-0.21911616405586862,-0.21469792111514735,-0.22237924418045213
1.1,-0.2258162106072932,-0.22359714675924944,-0.22941717728498268
1.15,-0.23223292794082492,-0.22635598243843208,-0.2361473366329498
1.2,-0.2383730549151899,-0.2336196366176447,-0.241880543949369
1.25,-0.24424323262156944,-0.23901923213353551,-0.24733355210401878
1.3,-0.2498500044766848,-0.24522206072136554,-0.2525448878939461
1.35,-0.25519981636185685,-0.25009416906937704,-0.2574899832212063
1.4,-0.26029901680632717,-0.2489654040191979,-0.2636793327185617
1.45,-0.26515385721325974,-0.25570636752781484,-0.2695897277129835
1.5,-0.26977049212671317,-0.2603148043878139,-0.27437991809584644
1.55,-0.27415497953810436,-0.2692214942984475,-0.27892019830133885
1.6,-0.2783132812305206,-0.27448460195215474,-0.28374372558573946
1.65,-0.2822512631594655,-0.27860745432038203,-0.28832125511956636
1.7,-0.2859746958685099,-0.2852326254325936,-0.2925513906199951
1.75,-0.2894892549384032,-0.2930986990012578,-0.2965504081855446
1.8,-0.29280052146827895,-0.2967110090406326,-0.3006568541916177
1.85,-0.29591398258756596,-0.3017910334884111,-0.3045387583339918
1.9,-0.2988350319972465,-0.3071192849804638,-0.30787351127828083
1.95,-0.3015689705391811,-0.3117224215607965,-0.311001706923128
