scenario,time,thermal_generation,wind_generation,served_load,data_center_load,bess_charge,bess_discharge,load_shed,wind_spill,net_balance
1,1,0.9,1.2919,2.1919,0.0,0.0,0.0,0.0,0.8923353127034602,0.0
1,2,1.0,1.3535000000000004,2.3535000000000004,0.0,0.0,0.0,0.0,0.8722891953939409,0.0
1,3,0.2,2.1467,2.3467000000000002,0.0,0.0,0.0,0.0,0.07743323452295298,0.0
1,4,0.2509274839484408,2.1163725160515594,2.3673,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.21031299562247385,2.180287004377526,2.3906,0.0,0.0,0.0,0.0,0.0,0.0
1,6,0.5120960022107908,1.932703997789209,2.4448,0.0,0.0,0.0,0.0,0.0,0.0
1,7,1.1,1.6339000239114978,2.7338999999999993,0.0,0.0,0.0,0.0,0.5698355374700651,2.3911498558959465e-8
1,8,0.9,2.004,2.904,0.0,0.0,0.0,0.0,0.05334590859655297,0.0
1,9,0.9,1.9355999999999995,2.8355999999999995,0.0,0.0,0.0,0.0,0.36571886240247464,0.0
1,10,0.9,1.9120000000000004,2.8120000000000003,0.0,0.0,0.0,0.0,0.3390030588483467,0.0
1,11,1.1196965175966476,2.166403482403353,3.2861000000000007,0.0,0.0,0.0,0.0,0.0,0.0
1,12,1.2010714587110436,2.079928541288957,3.2810000000000006,0.0,0.0,0.0,0.0,0.0,0.0
1,13,1.0,2.2618,3.2618,0.0,0.0,0.0,0.0,0.011750312268870022,0.0
1,14,1.2192414522017248,2.016758547798276,3.2360000000000007,0.0,0.0,0.0,0.0,0.0,0.0
1,15,0.9,2.3686000000000003,3.2686,0.0,0.0,0.0,0.0,0.0052891601903725105,0.0
1,16,1.0,1.8779000000000003,2.8779000000000003,0.0,0.0,0.0,0.0,0.3474044625562924,0.0
1,17,0.3927059136023092,2.207294086397691,2.6,0.0,0.0,0.0,0.0,0.0,0.0
1,18,0.3590866149146077,2.108313385085393,2.4674000000000005,0.0,0.0,0.0,0.0,0.0,0.0
1,19,0.4813086390262651,2.0783913609737343,2.5596999999999994,0.0,0.0,0.0,0.0,0.0,0.0
1,20,0.22796830891802777,2.145531691081972,2.3735,0.0,0.0,0.0,0.0,0.0,0.0
1,21,0.1,2.3331000000000004,2.4331000000000005,0.0,0.0,0.0,0.0,0.09462670655868158,0.0
1,22,0.6374572213193628,2.1939427786806376,2.8314000000000004,0.0,0.0,0.0,0.0,0.0,0.0
1,23,0.6459311143186914,2.184568885681309,2.8305000000000002,0.0,0.0,0.0,0.0,0.0,0.0
1,24,0.4247788861620965,2.0627211138379034,2.4875,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0.9,1.2919,2.1919,0.0,0.0,0.0,0.0,1.0032924482294332,0.0
2,2,1.0,1.3535000000000004,2.3535000000000004,0.0,0.0,0.0,0.0,0.8710427084937935,0.0
2,3,0.26166776111282175,2.0850322388871785,2.3467000000000002,0.0,0.0,0.0,0.0,0.0,0.0
2,4,0.2,2.1673,2.3673,0.0,0.0,0.0,0.0,0.02476823222706398,0.0
2,5,0.3979141493235661,1.992685850676434,2.3906,0.0,0.0,0.0,0.0,0.0,0.0
2,6,0.46780151897890493,1.976998481021095,2.4448,0.0,0.0,0.0,0.0,0.0,0.0
2,7,1.1,1.6339000239114978,2.7338999999999993,0.0,0.0,0.0,0.0,0.5143919582856927,2.3911498558959465e-8
2,8,0.9,2.004,2.904,0.0,0.0,0.0,0.0,0.21412517114511653,0.0
2,9,0.9,1.9355999999999995,2.8355999999999995,0.0,0.0,0.0,0.0,0.3602022891505251,0.0
2,10,0.9,1.9120000000000004,2.8120000000000003,0.0,0.0,0.0,0.0,0.42049854487664684,0.0
2,11,1.0,2.2861000000000007,3.2861000000000007,0.0,0.0,0.0,0.0,0.023763501477865212,0.0
2,12,1.0881345458165903,2.1928654541834103,3.2810000000000006,0.0,0.0,0.0,0.0,0.0,0.0
2,13,1.0,2.2618,3.2618,0.0,0.0,0.0,0.0,0.009667055723834306,0.0
2,14,1.0,2.2360000000000007,3.2360000000000007,0.0,0.0,0.0,0.0,0.03106413760212101,0.0
2,15,0.9460912807700725,2.3225087192299276,3.2686,0.0,0.0,0.0,0.0,0.0,0.0
2,16,1.0,1.8779000000000003,2.8779000000000003,0.0,0.0,0.0,0.0,0.396943348959061,0.0
2,17,0.32549181884044387,2.274508181159556,2.6,0.0,0.0,0.0,0.0,0.0,0.0
2,18,0.2894518509289279,2.1779481490710726,2.4674000000000005,0.0,0.0,0.0,0.0,0.0,0.0
2,19,0.47421470882564387,2.0854852911743555,2.5596999999999994,0.0,0.0,0.0,0.0,0.0,0.0
2,20,0.2076985576896071,2.165801442310393,2.3735,0.0,0.0,0.0,0.0,0.0,0.0
2,21,0.1,2.3331000000000004,2.4331000000000005,0.0,0.0,0.0,0.0,0.046868681783993976,0.0
2,22,0.588734914216285,2.2426650857837154,2.8314000000000004,0.0,0.0,0.0,0.0,0.0,0.0
2,23,0.5524437205712331,2.278056279428767,2.8305000000000002,0.0,0.0,0.0,0.0,0.0,0.0
2,24,0.3624779791470681,2.125022020852932,2.4875,0.0,0.0,0.0,0.0,0.0,0.0
