algorithm,scenarios,max_abs_balance_error,total_load_curtailment,total_wind_curtailment,peak_served_load
benders,20,4.440892098500626e-16,0.0,59.54709967541136,3.2861000000000007
ccg,20,1.2882284094263152,-5.607863164616913e-6,18.136564977331417,3.286100228091578
benders,50,0.0,0.0,182.62611279360655,3.2861000000000007
ccg,50,1.3025431303781914,-9.911815307997677e-10,14.480422126452757,3.2861002774353683
