algorithm,scenarios,status,iterations,lower_bound,upper_bound,gap,elapsed_seconds,max_ram_mb,log_path
benchmark_uc,2,OPTIMAL,1,116557.50639980531,116557.50639980531,0.0,4.857,1529.84,/Users/yuanyiping/Documents/GitHub/02 Ongoing/module_unitcommitment-revised_ModuleUnitCommitmentTookits/output/benchmark_uc/20260606_three_way_2_6/logs/benchmark_uc_2_scenarios.log
benders,2,bound_inconsistency,24,211053.65309007664,-4.347830463963848e6,1.0485422913423845,4.178,1439.3,/Users/yuanyiping/Documents/GitHub/02 Ongoing/module_unitcommitment-revised_ModuleUnitCommitmentTookits/output/benders/20260606_three_way_2_6/logs/benders_2_scenarios.log
ccg,2,converged,1,97739.11377165276,1.1803261478959722e6,0.9171931300964585,1.186,1272.91,/Users/yuanyiping/Documents/GitHub/02 Ongoing/module_unitcommitment-revised_ModuleUnitCommitmentTookits/output/ccg/20260606_three_way_2_6/logs/ccg_2_scenarios.log
benchmark_uc,6,OPTIMAL,1,121002.02928230038,121002.02928230038,0.0,0.381,1369.92,/Users/yuanyiping/Documents/GitHub/02 Ongoing/module_unitcommitment-revised_ModuleUnitCommitmentTookits/output/benchmark_uc/20260606_three_way_2_6/logs/benchmark_uc_6_scenarios.log
benders,6,converged,14,283159.549615424,283344.1140720723,0.0006513791798784707,0.451,1384.81,/Users/yuanyiping/Documents/GitHub/02 Ongoing/module_unitcommitment-revised_ModuleUnitCommitmentTookits/output/benders/20260606_three_way_2_6/logs/benders_6_scenarios.log
ccg,6,converged,3,130129.33905779924,153630.04960716635,0.15296949138079238,1.237,1391.97,/Users/yuanyiping/Documents/GitHub/02 Ongoing/module_unitcommitment-revised_ModuleUnitCommitmentTookits/output/ccg/20260606_three_way_2_6/logs/ccg_6_scenarios.log
