U_norm,T_dwell_rem,L_norm,sigma_load,R_wind_max,X_delta_norm,X_switch_ratio,To_star
0.4072022160664821,0.0,0.2681382117027753,10.0,0.05,0.221606648199446,0.25,7.0
0.4072022160664821,0.0,0.35156707634479245,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.3367118511802085,10.0,0.05,0.11772853185595569,0.08333333333333333,2.0
0.4072022160664821,0.0,0.41331701104719026,10.0,0.05,0.04847645429362882,0.08333333333333333,12.0
0.4072022160664821,0.0,0.41028702429731634,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.3500297192499711,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.4156884952267726,10.0,0.05,0.17313019390581721,0.1111111111111111,12.0
0.4072022160664821,0.0,0.3371197083415799,10.0,0.05,0.013850415512465375,0.037037037037037035,7.0
0.4072022160664821,0.0,0.3115765554074957,10.0,0.05,0.20083102493074795,0.1388888888888889,2.0
0.4072022160664821,0.0,0.3452420172883598,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.35589137736552745,10.0,0.05,0.06301939058171746,0.07407407407407407,2.0
0.4072022160664821,0.0,0.3271063576924177,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.40994136777920065,10.0,0.05,0.013850415512465375,0.037037037037037035,7.0
0.4072022160664821,0.0,0.36612489259484854,10.0,0.05,0.013850415512465375,0.037037037037037035,2.0
0.4072022160664821,0.0,0.39600522184248743,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.32413165773721236,10.0,0.05,0.09695290858725764,0.07407407407407407,12.0
0.4072022160664821,0.0,0.40650048174311293,10.0,0.05,0.019390581717451526,0.046296296296296294,7.0
0.4072022160664821,0.0,0.35742358078516673,10.0,0.05,0.03462603878116344,0.06481481481481481,2.0
0.4072022160664821,0.0,0.381829010333477,10.0,0.05,0.013850415512465375,0.037037037037037035,2.0
0.4072022160664821,0.0,0.34458600150581326,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.2787413082572419,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.3991711520769922,10.0,0.05,0.013850415512465375,0.037037037037037035,7.0
0.4072022160664821,0.0,0.3494107315506293,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.3430035294443271,10.0,0.05,0.013850415512465375,0.037037037037037035,2.0
0.4072022160664821,0.0,0.2654960838494976,10.0,0.05,0.07617728531855956,0.12037037037037036,12.0
0.4072022160664821,0.0,0.2986769896107506,10.0,0.05,0.28393351800554023,0.2222222222222222,2.0
0.4072022160664821,0.0,0.3473685878301672,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.3573130820091285,10.0,0.05,0.013850415512465375,0.037037037037037035,2.0
0.4072022160664821,0.0,0.28483895442490453,10.0,0.05,0.296398891966759,0.2777777777777778,12.0
0.4072022160664821,0.0,0.3905684816639507,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.3583402023703818,10.0,0.05,0.013850415512465375,0.037037037037037035,2.0
0.4072022160664821,0.0,0.35583423579862494,10.0,0.05,0.013850415512465375,0.037037037037037035,2.0
0.4072022160664821,0.0,0.35843837160153885,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.38341056822877456,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.37130445921812155,10.0,0.05,0.013850415512465375,0.037037037037037035,7.0
0.4072022160664821,0.0,0.360817706071825,10.0,0.05,0.013850415512465375,0.037037037037037035,2.0
0.4072022160664821,0.0,0.3443097707390298,10.0,0.05,0.013850415512465375,0.037037037037037035,7.0
0.4072022160664821,0.0,0.3508601428769064,10.0,0.05,0.03462603878116344,0.046296296296296294,12.0
0.4072022160664821,0.0,0.3555251808059766,10.0,0.05,0.013850415512465375,0.037037037037037035,2.0
0.4072022160664821,0.0,0.3468085140099715,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.2724675103028877,10.0,0.05,0.06301939058171746,0.09259259259259259,7.0
0.4072022160664821,0.0,0.40542226926238195,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.4142885144954212,10.0,0.05,0.026315789473684213,0.05555555555555555,2.0
0.4072022160664821,0.0,0.3310513811543052,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
0.4072022160664821,0.0,0.34707952246676277,10.0,0.05,0.013850415512465375,0.037037037037037035,2.0
0.4072022160664821,0.0,0.2728425608231935,10.0,0.05,0.20775623268698065,0.21296296296296297,7.0
0.4072022160664821,0.0,0.37383585195024366,10.0,0.05,0.03462603878116344,0.046296296296296294,7.0
0.4072022160664821,0.0,0.35668812013677687,10.0,0.05,0.013850415512465375,0.037037037037037035,2.0
0.4072022160664821,0.0,0.3452825949903455,10.0,0.05,0.013850415512465375,0.037037037037037035,12.0
