Mode,UseSteady,UseUnitDwell,UseRamp,TotalCost_USD,StartupShutdownCost_USD,FuelCost_USD,LoadShedding_MWh,WindCurtailment_MWh,WallTime_sec,SubproblemSolveTime_sec,JuliaAllocated_MB,AvgOverlap_h,MaxOverlap_h,MinOverlap_h,LimitingFactorCounts,CostGap_vs_All_pct,SolveTimeDelta_vs_NoOverlap_sec,CalibrationTime_excluded_sec,ReferenceTime_excluded_sec
NoOverlap,false,false,false,1.4035802804681724e7,28370.0,1.4006656566735398e7,6.455805895020628,1.5046266954093928,21.8930647,21.283999919891357,9525.513699531555,0.0,0,0,none=7,0.3045,0.0,236.7951648,46.419164900000006
SteadyOnly,true,false,false,1.399618137543793e7,29156.0,1.39662491374916e7,6.455805895020626,0.5698734958479595,33.2780085,33.24500012397766,13453.170901298523,4.571428571428571,7,0,steady=7,0.0214,11.961,236.7951648,46.419164900000006
UnitOnly,false,true,false,1.403453759675205e7,29580.0,1.4004181358805725e7,6.45580589502061,1.6398712435723355,26.2570129,26.22100043296814,13337.886695861816,4.428571428571429,7,0,none=1; unit_dwell=6,0.2955,4.937,236.7951648,46.419164900000006
RampOnly,false,false,true,1.4116742095504593e7,28158.0,1.4087807857558275e7,6.455805895020617,0.0,18.7085529,18.699000358581543,11728.828570365906,2.7142857142857144,4,0,none=1; ramp=6,0.883,-2.585,236.7951648,46.419164900000006
Steady+Unit,true,true,false,1.3993187423299007e7,28616.0,1.3963795185352683e7,6.547490796895422,0.4109960636597888,18.5210512,18.51300024986267,14271.87542629242,5.428571428571429,7,0,steady=4; steady+unit_dwell=1; unit_dwell=2,0.0,-2.771,236.7951648,46.419164900000006
Steady+Ramp,true,false,true,1.399618137543793e7,29156.0,1.39662491374916e7,6.455805895020626,0.5698734958479595,19.9122682,19.90499973297119,13453.150027275085,4.571428571428571,7,0,steady=7,0.0214,-1.379,236.7951648,46.419164900000006
Unit+Ramp,false,true,true,1.4008181954306988e7,26360.0,1.3981045716360662e7,6.455805895020642,1.8398712435723386,19.5034681,19.49500012397766,13597.065561294556,4.714285714285714,7,0,ramp=1; unit_dwell=6,0.1072,-1.789,236.7951648,46.419164900000006
Steady+Unit+Ramp,true,true,true,1.3993187423299007e7,28616.0,1.3963795185352683e7,6.547490796895422,0.4109960636597888,18.0989401,18.090999841690063,14271.87509059906,5.428571428571429,7,0,steady=4; steady+unit_dwell=1; unit_dwell=2,0.0,-3.193,236.7951648,46.419164900000006
